asset,timeframe,month,total_r,trades
xauusd,30min,2024-10,11.165973523828079,22
xauusd,30min,2024-11,13.895740364630305,21
xauusd,30min,2024-12,-4.774996971063252,25
xauusd,30min,2025-01,-4.538380056597111,34
xauusd,30min,2025-02,-7.458879301952172,21
xauusd,30min,2025-03,-6.468475053092093,19
xauusd,30min,2025-04,7.483890724442259,26
xauusd,30min,2025-05,3.3436805424112146,24
xauusd,30min,2025-06,-11.391863296872792,30
xauusd,30min,2025-07,-1.9388508712847519,30
xauusd,30min,2025-08,12.350503254559714,17
xauusd,30min,2025-09,4.066912526999091,20
xauusd,30min,2025-10,8.197404959882675,20
xauusd,30min,2025-11,0.23927477851304352,15
xauusd,30min,2025-12,-11.170448454360859,25
xauusd,30min,2026-01,-0.3204489522687296,18
xauusd,30min,2026-02,-1.002379638141865,13
xauusd,30min,2026-03,-1.6717149900703416,23
xauusd,30min,2026-04,-14.69117962057045,26
xauusd,30min,2026-05,1.3185918268627197,24
xauusd,30min,2026-06,4.641916407871786,18
xauusd,30min,2026-07,10.719109803407317,25
xauusd,30min,2026-08,-8.382469462278157,31
xauusd,1h,2024-01,-2.306148270608137,16
xauusd,1h,2024-02,-2.2391113149213258,8
xauusd,1h,2024-03,-0.5871073863609437,12
xauusd,1h,2024-04,-2.288842275237321,10
xauusd,1h,2024-05,0.38637736981959386,11
xauusd,1h,2024-06,1.0270908998585333,9
xauusd,1h,2024-07,10.80578004097362,14
xauusd,1h,2024-08,0.0932247304057479,12
xauusd,1h,2024-09,-2.338050361285643,11
xauusd,1h,2024-10,-4.084647893400712,11
xauusd,1h,2024-11,20.142970440494945,9
xauusd,1h,2024-12,6.933794415863844,12
xauusd,1h,2025-01,2.1024150710520595,14
xauusd,1h,2025-02,-3.4340848058982303,16
xauusd,1h,2025-03,1.307105439000983,13
xauusd,1h,2025-04,-0.2877814464546178,12
xauusd,1h,2025-05,1.0501913085586412,7
xauusd,1h,2025-06,-1.230928547657249,5
xauusd,1h,2025-07,3.3763119521478004,15
xauusd,1h,2025-08,2.3978851792784663,15
xauusd,1h,2025-09,5.5198743972643705,16
xauusd,1h,2025-10,16.00681632608598,15
xauusd,1h,2025-11,-7.954417029259812,10
xauusd,1h,2025-12,-6.319183432992558,18
xauusd,1h,2026-01,-4.53620716885557,9
xauusd,1h,2026-02,-1.1358967439479941,8
xauusd,1h,2026-03,3.882894168090681,9
xauusd,1h,2026-04,-2.2938796853539576,6
xauusd,1h,2026-05,-5.9753864399222145,11
xauusd,1h,2026-06,2.19365990158464,15
xauusd,1h,2026-07,0.08093025326438252,7
xauusd,1h,2026-08,0.6510571700155963,7
