month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,symbol,mode,initial_balance_usd,risk_percent
2024-01,30.4195156994682,29,29,530.4195156994682,500.0,6.08390313989364,US500,risk_only,500,1
2024-02,28.424440145334906,19,19,558.8439558448031,530.4195156994682,5.358860167098373,US500,risk_only,500,1
2024-03,-23.361909874021386,20,20,535.4820459707818,558.8439558448031,-4.1803994889244604,US500,risk_only,500,1
2024-04,-10.133642927129198,18,18,525.3484030436525,535.4820459707818,-1.8924337432747715,US500,risk_only,500,1
2024-05,13.803861507905413,20,20,539.1522645515579,525.3484030436525,2.627563237640301,US500,risk_only,500,1
2024-06,114.50702542420076,23,23,653.6592899757587,539.1522645515579,21.23834637316092,US500,risk_only,500,1
2024-07,-55.987137098476424,35,35,597.6721528772823,653.6592899757587,-8.565186475136418,US500,risk_only,500,1
2024-08,24.715327086065056,27,27,622.3874799633473,597.6721528772823,4.13526495539098,US500,risk_only,500,1
2024-09,-2.4874558594313827,18,18,619.9000241039159,622.3874799633473,-0.39966354393534237,US500,risk_only,500,1
2024-10,16.72911938527848,22,22,636.6291434891945,619.9000241039159,2.6986802282288864,US500,risk_only,500,1
2024-11,-3.73813785163411,18,18,632.8910056375603,636.6291434891945,-0.5871766773268301,US500,risk_only,500,1
2024-12,-28.33904155524079,16,16,604.5519640823195,632.8910056375603,-4.477712797749855,US500,risk_only,500,1
2025-01,-0.7954342986642224,17,17,603.7565297836553,604.5519640823195,-0.13157418152989594,US500,risk_only,500,1
2025-02,-39.07859235644162,18,18,564.6779374272137,603.7565297836553,-6.472574693385874,US500,risk_only,500,1
2025-03,-13.361848838351044,31,31,551.3160885888626,564.6779374272137,-2.366277828956859,US500,risk_only,500,1
2025-04,51.132364821280326,15,22,602.448453410143,551.3160885888626,9.274600520394332,US500,risk_only,500,1
2025-05,2.5682191225001203,21,21,605.016672532643,602.448453410143,0.4262969068910023,US500,risk_only,500,1
2025-06,-45.82069046407381,27,27,559.1959820685693,605.016672532643,-7.573459136632571,US500,risk_only,500,1
2025-07,48.94583763818345,20,20,608.1418197067527,559.1959820685693,8.752895086463917,US500,risk_only,500,1
2025-08,-12.547458595748932,25,25,595.5943611110038,608.1418197067527,-2.0632454781352387,US500,risk_only,500,1
