symbol,mode,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,skipped_margin,skipped_insolvent,final_balance_usd,return_percent,max_balance_drawdown_percent,trades_per_week,trades_per_month,mean_monthly_return_percent,geometric_monthly_return_percent,median_monthly_return_percent,positive_months,negative_months,flat_months,risk_budget_breaches,mean_executed_risk_budget_utilization_percent,tail_candidates,tail_executed,tail_skipped,ruined
US500,risk_only,500,1,688,681,7,0,0,922.8542113160437,84.57084226320875,23.641995618056132,4.894250513347023,21.28125,2.231864304155743,1.9336549649195511,0.25370640328191285,17,15,0,6,99.22019782062738,53,53,0,False
US500,risk_only,500,2,688,685,3,0,0,1348.7217147620204,169.74434295240405,43.94469634672835,4.922997946611909,21.40625,4.3297306255815,3.1495317437426396,-0.12073254789428553,16,16,0,7,99.67288082400599,53,53,0,False
US500,risk_only,500,3,688,688,0,0,0,1637.1050003252333,227.42100006504666,59.08904536776186,4.944558521560575,21.5,6.395698526225766,3.776036342475586,-0.9126420749371543,15,17,0,8,99.75454639847003,53,53,0,False
US500,risk_only,500,4,688,688,0,0,0,1645.9561687909188,229.19123375818376,71.92682639755898,4.944558521560575,21.5,8.37277745143124,3.793524190524966,-2.004516214964051,15,17,0,8,99.79903219060813,53,53,0,False
US500,risk_only,500,5,688,688,0,0,0,1377.846654666394,175.56933093327876,81.59192587458845,4.944558521560575,21.5,10.23452420419372,3.218421940949545,-3.5389735128040036,15,17,0,8,99.82066639915963,53,53,0,False
US500,risk_only,1000,1,688,685,3,0,0,1830.3728526404334,83.03728526404335,24.35516470025119,4.922997946611909,21.40625,2.2055261778756647,1.9070808790051075,0.2550610472353239,17,15,0,7,99.57749102758045,53,53,0,False
US500,risk_only,1000,2,688,688,0,0,0,2716.5787111239983,171.65787111239985,43.99351905745898,4.944558521560575,21.5,4.356819431092463,3.17232004151331,-0.1344076886766493,16,16,0,7,99.82594914252527,53,53,0,False
US500,risk_only,1000,3,688,688,0,0,0,3281.391917606083,228.13919176060833,59.16103618184517,4.944558521560575,21.5,6.40744106286332,3.7831422564254646,-0.9123105682717951,15,17,0,8,99.87974437647063,53,53,0,False
US500,risk_only,1000,4,688,688,0,0,0,3293.634004840968,229.36340048409681,71.99856558249827,4.944558521560575,21.5,8.38140923960212,3.7952201334943148,-2.056330616367728,15,17,0,8,99.90153380354313,53,53,0,False
US500,risk_only,1000,5,688,688,0,0,0,2762.8260390824657,176.28260390824659,81.62203297645905,4.944558521560575,21.5,10.254652915278422,3.226760446377286,-3.517497125021626,15,17,0,8,99.90682842119836,53,53,0,False
US500,risk_only,3000,1,688,688,0,0,0,5525.573710024956,84.1857903341652,24.4853901277724,4.944558521560575,21.5,2.2282094043149847,1.9270027991438399,0.2620628324783147,17,15,0,8,99.86355926706321,53,53,0,False
US500,risk_only,3000,2,688,688,0,0,0,8161.772880147888,172.05909600492961,44.025914629577066,4.944558521560575,21.5,4.364248766782609,3.1770785219867648,-0.1455708842045787,16,16,0,8,99.93810138714345,53,53,0,False
US500,risk_only,3000,3,688,688,0,0,0,9866.67681936903,228.88922731230096,59.23403959550857,4.944558521560575,21.5,6.4194972749771235,3.7905471736687346,-0.9191994638274519,15,17,0,8,99.96160374092112,53,53,0,False
US500,risk_only,3000,4,688,688,0,0,0,9878.45020334386,229.28167344479533,72.0455984708717,4.944558521560575,21.5,8.385617638810073,3.794415181449451,-2.0438988995526035,15,17,0,8,99.96796354130353,53,53,0,False
US500,risk_only,3000,5,688,688,0,0,0,8282.756394094187,176.0918798031396,81.66117088704932,4.944558521560575,21.5,10.256705552094443,3.2245328339918222,-3.540687587649969,15,17,0,8,99.97013808662297,53,53,0,False
US500_x100,risk_only,500,1,688,0,688,0,0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,0,,53,0,53,False
US500_x100,risk_only,500,2,688,6,682,0,0,509.6074291888135,1.9214858377627042,5.303657495047144,0.043121149897330596,0.1875,0.06862051532808769,0.05949451659761351,0.0,3,2,27,0,90.48055080641446,53,1,52,False
US500_x100,risk_only,500,3,688,194,494,0,0,1140.0187526786249,128.003750535725,42.56772339429716,1.3942505133470227,6.0625,3.3579129038674274,2.6090548386200174,0.0,15,13,4,1,89.07030389316813,53,19,34,False
US500_x100,risk_only,500,4,688,572,116,0,0,3006.6866375527507,501.33732751055015,61.37618234929643,4.11088295687885,17.875,8.95165050264118,5.766331857166396,7.034878232161438,19,13,0,1,91.96927373052618,53,45,8,False
US500_x100,risk_only,500,5,688,182,506,0,0,293.08476102734585,-41.383047794530825,69.98012516819779,1.3080082135523614,5.6875,-0.9073773723787828,-1.6553529451216908,0.0,10,10,12,0,90.33669262766351,53,12,41,False
US500_x100,risk_only,1000,1,688,6,682,0,0,1009.6074291888135,0.9607429188813521,2.7492758760796194,0.043121149897330596,0.1875,0.032250971370002136,0.029884374878941244,0.0,3,2,27,0,91.86216937938659,53,1,52,False
US500_x100,risk_only,1000,2,688,489,199,0,0,3741.7865890083776,274.1786589008377,36.31898628917992,3.5143737166324436,15.28125,5.0989904655301235,4.209837622844126,3.997088292547286,19,12,1,2,90.04366873168541,53,42,11,False
US500_x100,risk_only,1000,3,688,603,85,0,0,3639.911723367567,263.9911723367567,50.397148075485596,4.333675564681725,18.84375,6.259272729737239,4.119983136165639,2.294781643709807,16,16,0,3,91.82666998648952,53,46,7,False
US500_x100,risk_only,1000,4,688,613,75,0,0,2746.2367238527067,174.62367238527068,68.22253580420619,4.405544147843942,19.15625,7.1448139016351595,3.2073344412042903,-0.9072515624112785,16,16,0,1,92.31424254097251,53,46,7,False
US500_x100,risk_only,1000,5,688,640,48,0,0,2809.2997715809206,180.92997715809207,75.75795698022245,4.59958932238193,20.0,9.386585382312385,3.2805852218812825,-0.2693888859925624,16,16,0,1,93.85193534427944,53,48,5,False
US500_x100,risk_only,3000,1,688,548,140,0,0,5854.983327250381,95.16611090834604,18.213951378757905,3.938398357289528,17.125,2.3458784902109366,2.111613281275493,1.6296135122166076,19,13,0,2,90.43241803537025,53,46,7,False
US500_x100,risk_only,3000,2,688,670,18,0,0,8267.67427847059,175.5891426156863,38.27576635455037,4.815195071868583,20.9375,4.260284324048336,3.2186538312531265,0.7783736667996555,18,14,0,3,94.6494230906429,53,52,1,False
