year,equity_start,equity_end,pnl_usd,executed_trades,candidate_trades,return_percent,symbol,mode,initial_balance_usd,risk_percent
2024,500.0,604.5519640823195,104.55196408231953,265,265,20.910392816463897,US500,risk_only,500,1
2025,604.5519640823195,801.7106048578835,197.15864077556395,258,265,32.612356338109194,US500,risk_only,500,1
2026,801.7106048578835,922.8542113160436,121.1436064581601,158,158,15.110640388701713,US500,risk_only,500,1
2024,500.0,674.6494772249937,174.64947722499372,265,265,34.929895444998735,US500,risk_only,500,2
2025,674.6494772249937,1083.3257789163113,408.67630169131763,262,265,60.57609402919988,US500,risk_only,500,2
2026,1083.3257789163113,1348.721714762019,265.39593584570775,158,158,24.498257219651197,US500,risk_only,500,2
2024,500.0,695.6035645582888,195.60356455828875,265,265,39.12071291165775,US500,risk_only,500,3
2025,695.6035645582888,1290.095519107329,594.4919545490402,265,265,85.46419035769965,US500,risk_only,500,3
2026,1290.095519107329,1637.1050003252328,347.0094812179037,158,158,26.89796810223899,US500,risk_only,500,3
2024,500.0,669.2009100920056,169.20091009200564,265,265,33.84018201840113,US500,risk_only,500,4
2025,669.2009100920056,1338.5459603704635,669.3450502784578,265,265,100.02153914979468,US500,risk_only,500,4
2026,1338.5459603704635,1645.9561687909186,307.41020842045504,158,158,22.965980812147425,US500,risk_only,500,4
2024,500.0,600.1980532827121,100.19805328271195,265,265,20.039610656542408,US500,risk_only,500,5
2025,600.1980532827121,1211.8361821511858,611.6381288684736,265,265,101.90605009849523,US500,risk_only,500,5
2026,1211.8361821511858,1377.8466546663963,166.01047251521038,158,158,13.699085318654024,US500,risk_only,500,5
2024,1000.0,1210.365588638023,210.36558863802298,265,265,21.03655886380229,US500,risk_only,1000,1
2025,1210.365588638023,1589.0838747394657,378.71828610144274,262,265,31.28957809578836,US500,risk_only,1000,1
2026,1589.0838747394657,1830.3728526404334,241.28897790096775,158,158,15.184156213310484,US500,risk_only,1000,1
2024,1000.0,1348.9549962858655,348.9549962858654,265,265,34.895499628586556,US500,risk_only,1000,2
2025,1348.9549962858655,2185.345066219482,836.3900699336165,265,265,62.00281493722804,US500,risk_only,1000,2
2026,2185.345066219482,2716.578711123998,531.2336449045158,158,158,24.308913640971074,US500,risk_only,1000,2
2024,1000.0,1391.0570818760038,391.0570818760038,265,265,39.10570818760037,US500,risk_only,1000,3
2025,1391.0570818760038,2585.7684534817345,1194.7113716057304,265,265,85.88514354813694,US500,risk_only,1000,3
2026,2585.7684534817345,3281.3919176060804,695.6234641243462,158,158,26.90200134461729,US500,risk_only,1000,3
2024,1000.0,1339.0854565725167,339.0854565725169,265,265,33.90854565725168,US500,risk_only,1000,4
2025,1339.0854565725167,2678.4071961400914,1339.321739567575,265,265,100.01764510202827,US500,risk_only,1000,4
2026,2678.4071961400914,3293.6340048409675,615.2268087008756,158,158,22.969875886963422,US500,risk_only,1000,4
2024,1000.0,1201.3192201229422,201.31922012294228,265,265,20.13192201229421,US500,risk_only,1000,5
2025,1201.3192201229422,2431.1603656574553,1229.8411455345133,265,265,102.37421702190463,US500,risk_only,1000,5
2026,2431.1603656574553,2762.826039082467,331.66567342501185,158,158,13.642278728713976,US500,risk_only,1000,5
2024,3000.0,3631.5706633469113,631.5706633469113,265,265,21.052355444897053,US500,risk_only,3000,1
2025,3631.5706633469113,4795.600765807619,1164.0301024607077,265,265,32.053075937889616,US500,risk_only,3000,1
2026,4795.600765807619,5525.5737100249535,729.9729442173352,158,158,15.221720486450895,US500,risk_only,3000,1
2024,3000.0,4047.307822383861,1047.3078223838606,265,265,34.910260746128706,US500,risk_only,3000,2
2025,4047.307822383861,6562.133217232824,2514.825394848963,265,265,62.13575802019755,US500,risk_only,3000,2
2026,6562.133217232824,8161.772880147888,1599.6396629150636,158,158,24.37682396806955,US500,risk_only,3000,2
2024,3000.0,4179.2619984426565,1179.2619984426562,265,265,39.30873328142188,US500,risk_only,3000,3
2025,4179.2619984426565,7776.957808382119,3597.6958099394633,265,265,86.0844764286157,US500,risk_only,3000,3
2026,7776.957808382119,9866.67681936902,2089.7190109869025,158,158,26.870648683918176,US500,risk_only,3000,3
2024,3000.0,4015.973164151351,1015.9731641513506,265,265,33.86577213837836,US500,risk_only,3000,4
2025,4015.973164151351,8035.96922472319,4019.9960605718397,265,265,100.10017239299303,US500,risk_only,3000,4
2026,8035.96922472319,9878.450203343862,1842.4809786206738,158,158,22.927924772934148,US500,risk_only,3000,4
2024,3000.0,3603.702539802149,603.7025398021487,265,265,20.123417993404978,US500,risk_only,3000,5
2025,3603.702539802149,7287.835708238613,3684.1331684364636,265,265,102.23188866855617,US500,risk_only,3000,5
2026,7287.835708238613,8282.756394094187,994.9206858555744,158,158,13.651799048253178,US500,risk_only,3000,5
2024,500.0,500.0,0.0,0,265,0.0,US500_x100,risk_only,500,1
2025,500.0,500.0,0.0,0,265,0.0,US500_x100,risk_only,500,1
2026,500.0,500.0,0.0,0,158,0.0,US500_x100,risk_only,500,1
2024,500.0,509.6074291888135,9.607429188813512,6,265,1.9214858377627042,US500_x100,risk_only,500,2
2025,509.6074291888135,509.6074291888135,0.0,0,265,0.0,US500_x100,risk_only,500,2
2026,509.6074291888135,509.6074291888135,0.0,0,158,0.0,US500_x100,risk_only,500,2
2024,500.0,599.738853935236,99.73885393523591,117,265,19.94777078704719,US500_x100,risk_only,500,3
2025,599.738853935236,816.7832421898238,217.04438825458783,38,265,36.18981608919167,US500_x100,risk_only,500,3
2026,816.7832421898238,1140.0187526786249,323.23551048880114,39,158,39.574209385368356,US500_x100,risk_only,500,3
2024,500.0,964.43203182284,464.4320318228401,219,265,92.886406364568,US500_x100,risk_only,500,4
2025,964.43203182284,2318.1219819521157,1353.6899501292755,196,265,140.36136352405387,US500_x100,risk_only,500,4
2026,2318.1219819521157,3006.6866375527507,688.5646556006352,157,158,29.703555764601617,US500_x100,risk_only,500,4
2024,500.0,322.5363933758508,-177.46360662414918,167,265,-35.49272132482984,US500_x100,risk_only,500,5
2025,322.5363933758508,308.354761027349,-14.181632348501811,14,265,-4.396909198391141,US500_x100,risk_only,500,5
2026,308.354761027349,293.08476102734585,-15.270000000003165,1,158,-4.952088285949574,US500_x100,risk_only,500,5
2024,1000.0,1009.6074291888135,9.607429188813512,6,265,0.9607429188813521,US500_x100,risk_only,1000,1
2025,1009.6074291888135,1009.6074291888135,0.0,0,265,0.0,US500_x100,risk_only,1000,1
2026,1009.6074291888135,1009.6074291888135,0.0,0,158,0.0,US500_x100,risk_only,1000,1
2024,1000.0,1620.0733705667326,620.0733705667326,190,265,62.00733705667325,US500_x100,risk_only,1000,2
2025,1620.0733705667326,2603.0076690093456,982.934298442613,158,265,60.67220882093529,US500_x100,risk_only,1000,2
2026,2603.0076690093456,3741.7865890083776,1138.778919999032,141,158,43.74858105709804,US500_x100,risk_only,1000,2
2024,1000.0,1420.3654990704772,420.3654990704772,248,265,42.03654990704773,US500_x100,risk_only,1000,3
2025,1420.3654990704772,2587.459284939734,1167.0937858692569,199,265,82.16855356125112,US500_x100,risk_only,1000,3
2026,2587.459284939734,3639.911723367567,1052.452438427833,156,158,40.675130408954296,US500_x100,risk_only,1000,3
