asset,cost,variant,month,net_r
sp500,base,filter_only_kernel,2025-05,-4.596602453865614
sp500,base,filter_only_kernel,2025-06,1.2065562171696464
sp500,base,filter_only_kernel,2025-07,7.581980360080592
sp500,base,filter_only_kernel,2025-08,6.586650771677194
sp500,base,filter_only_kernel,2025-09,9.172220057448266
sp500,base,filter_only_kernel,2025-10,6.432635898269613
sp500,base,filter_only_kernel,2025-11,1.7703329785816908
sp500,base,filter_only_kernel,2025-12,5.681792009420941
sp500,base,filter_only_kernel,2026-01,-6.594691792372968
sp500,base,filter_only_kernel,2026-02,5.8645047981465215
sp500,base,filter_only_kernel,2026-03,2.7736038820157085
sp500,base,filter_only_kernel,2026-04,9.261502226422744
sp500,base,filter_only_kernel,2026-05,-1.9627354625212545
sp500,base,filter_only_kernel,2026-06,-13.228891654879108
sp500,base,filter_only_kernel,2026-07,-16.97468144986963
sp500,base,filter_only_kernel,2026-08,-2.7598522613815564
sp500,stress,causal_lorentzian,2024-01,3.5959916603836324
sp500,stress,causal_lorentzian,2024-02,1.2406018869679272
sp500,stress,causal_lorentzian,2024-03,-4.591821182738375
sp500,stress,causal_lorentzian,2024-04,-2.183131512261667
sp500,stress,causal_lorentzian,2024-05,2.3391876245746976
sp500,stress,causal_lorentzian,2024-06,18.821237927915906
sp500,stress,causal_lorentzian,2024-07,-10.592135131047453
sp500,stress,causal_lorentzian,2024-08,3.784299288085001
sp500,stress,causal_lorentzian,2024-09,-0.38304855527096493
sp500,stress,causal_lorentzian,2024-10,1.714448467489996
sp500,stress,causal_lorentzian,2024-11,-2.0096836493952135
sp500,stress,causal_lorentzian,2024-12,-5.049577196550558
sp500,stress,causal_lorentzian,2025-01,-0.5716097642513018
sp500,stress,causal_lorentzian,2025-02,-7.018107688071337
sp500,stress,causal_lorentzian,2025-03,-4.76592557547381
sp500,stress,causal_lorentzian,2025-04,8.685188324839658
sp500,stress,causal_lorentzian,2025-05,0.12704230442684206
sp500,stress,causal_lorentzian,2025-06,-9.966899381700365
sp500,stress,causal_lorentzian,2025-07,15.16812187831503
sp500,stress,causal_lorentzian,2025-08,-2.08399877271652
sp500,stress,causal_lorentzian,2025-09,7.6052773005205605
sp500,stress,causal_lorentzian,2025-10,4.933168808732249
sp500,stress,causal_lorentzian,2025-11,10.249389995219651
sp500,stress,causal_lorentzian,2025-12,-0.42605108051573715
sp500,stress,causal_lorentzian,2026-01,-5.057352672162224
sp500,stress,causal_lorentzian,2026-02,3.7705417763224918
sp500,stress,causal_lorentzian,2026-03,3.8872696339543666
sp500,stress,causal_lorentzian,2026-04,17.829222075673847
sp500,stress,causal_lorentzian,2026-05,-9.427667721447413
sp500,stress,causal_lorentzian,2026-06,-5.556288694662851
sp500,stress,causal_lorentzian,2026-07,-9.635623457672315
sp500,stress,causal_lorentzian,2026-08,7.375105867861446
sp500,stress,causal_euclidean,2024-01,3.8443946167377425
