asset,cost,variant,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,executable_fraction,final_balance_usd,return_percent,maximum_balance_drawdown_percent,mean_monthly_return_percent,risk_budget_breaches,worst_realized_loss_over_budget,ruined
sp500,base,causal_lorentzian,3000,1,688,688,0,1.0,5525.573710024956,84.1857903341652,24.485390127772398,2.2282094043149843,8,1.1840175523995167,False
sp500,base,causal_euclidean,3000,1,703,703,0,1.0,5488.055950994114,82.93519836647047,28.56322285507452,2.292946612113181,9,1.1839347495755492,False
sp500,base,simple_momentum4,3000,1,968,968,0,1.0,2541.3155975024624,-15.28948008325125,46.44912798231946,-0.22164688157828494,12,5.361635970467739,False
sp500,base,filter_only_kernel,3000,1,974,974,0,1.0,2431.337796921855,-18.955406769271498,46.11849613196376,-0.33704434986767606,12,5.361782318847855,False
sp500,stress,causal_lorentzian,3000,1,689,689,0,1.0,3692.5049813756914,23.08349937918972,29.518869584290147,0.9326477385288398,9,1.2209954402717236,False
sp500,stress,causal_euclidean,3000,1,705,705,0,1.0,2837.0948598602704,-5.430171337990986,40.97772261001,0.1314439195490719,7,2.6097408425349515,False
sp500,stress,simple_momentum4,3000,1,968,968,0,1.0,1587.5407786634523,-47.081974044551586,58.357331766904416,-1.6892406536778775,16,4.1603748987732265,False
sp500,stress,filter_only_kernel,3000,1,974,974,0,1.0,1516.4168845243912,-49.45277051585363,59.09402410732342,-1.817134808949258,16,4.153818756376712,False
xauusd,base,causal_lorentzian,3000,1,745,720,25,0.9664429530201343,2190.017800735894,-26.99940664213687,35.36660450314413,-0.7842694114870136,1,1.601101905493765,False
xauusd,base,causal_euclidean,3000,1,758,738,20,0.9736147757255936,2479.3947010393535,-17.353509965354885,32.40183641236703,-0.41743487359734077,1,1.612334642805896,False
xauusd,base,simple_momentum4,3000,1,1029,988,41,0.9601554907677357,2236.198530397432,-25.46004898675227,36.416296653096246,-0.69756099842739,2,1.7879685392075695,False
xauusd,base,filter_only_kernel,3000,1,1024,979,45,0.9560546875,2023.5732493485289,-32.547558355049034,45.28514271624577,-1.0067080831109014,2,1.6175760546355054,False
xauusd,stress,causal_lorentzian,3000,1,743,698,45,0.9394347240915208,1736.97779541914,-42.10074015269534,46.03021084424913,-1.5267368754331785,1,1.660229235546323,False
xauusd,stress,causal_euclidean,3000,1,756,694,62,0.917989417989418,1770.4349271449305,-40.985502428502315,53.39573937106506,-1.4878064798644566,1,1.6790164252566249,False
xauusd,stress,simple_momentum4,3000,1,1029,971,58,0.9436345966958212,1926.10086997203,-35.79663766759899,44.26391295092746,-1.159526615629816,3,1.595772195664589,False
xauusd,stress,filter_only_kernel,3000,1,1024,970,54,0.947265625,1963.467870833531,-34.55107097221563,49.24366496328862,-1.0902518226253022,3,1.6232366280596697,False
