month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2025-09,15.384827161042573,13,20,292.4666403195405,277.0818131584979,5.552449287691812,xauusd,30min,500,3
2025-10,3.731103697191301,2,20,296.19774401673175,292.4666403195405,1.2757365055771168,xauusd,30min,500,3
2025-11,-8.771346418313279,1,15,287.4263975984185,296.19774401673175,-2.961314390638235,xauusd,30min,500,3
2025-12,-21.502749328848004,3,24,265.92364826957044,287.4263975984185,-7.481132390244423,xauusd,30min,500,3
2026-01,0.0,0,18,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-02,0.0,0,14,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-03,0.0,0,23,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-04,0.0,0,26,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-05,0.0,0,24,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-06,0.0,0,18,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-07,0.0,0,25,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2026-08,0.0,0,31,265.92364826957044,265.92364826957044,0.0,xauusd,30min,500,3
2024-01,-136.32868125015364,34,34,363.67131874984636,500.0,-27.265736250030727,xauusd,30min,500,4
2024-02,-85.281688895716,22,22,278.38962985413036,363.67131874984636,-23.45021025822978,xauusd,30min,500,4
2024-03,-31.412130880403023,22,22,246.97749897372734,278.38962985413036,-11.283513289220666,xauusd,30min,500,4
2024-04,-55.97973811007673,24,25,190.99776086365063,246.97749897372734,-22.66592638709637,xauusd,30min,500,4
2024-05,-0.03285110294330007,24,24,190.96490976070731,190.99776086365063,-0.017199731973167893,xauusd,30min,500,4
2024-06,-16.788530213375093,23,23,174.1763795473322,190.96490976070731,-8.791421541482318,xauusd,30min,500,4
2024-07,24.370279328023276,21,21,198.5466588753555,174.1763795473322,13.991724590532487,xauusd,30min,500,4
2024-08,-6.564020637823508,16,18,191.982638237532,198.5466588753555,-3.306034296927806,xauusd,30min,500,4
2024-09,-55.79028875003742,27,29,136.1923494874946,191.982638237532,-29.06006983871659,xauusd,30min,500,4
2024-10,47.512141446530926,20,22,183.7044909340255,136.1923494874946,34.886057568816355,xauusd,30min,500,4
2024-11,79.97135767861452,21,21,263.67584861264004,183.7044909340255,43.53260895909994,xauusd,30min,500,4
2024-12,-36.433629654130876,24,24,227.24221895850917,263.67584861264004,-13.817583159713145,xauusd,30min,500,4
2025-01,-33.417812200842825,35,35,193.82440675766634,227.24221895850917,-14.705811426240468,xauusd,30min,500,4
2025-02,-33.94977419666801,19,21,159.87463256099835,193.82440675766634,-17.515737447407506,xauusd,30min,500,4
2025-03,-16.17591812383897,14,19,143.69871443715937,159.87463256099835,-10.117876654176035,xauusd,30min,500,4
2025-04,0.0,0,25,143.69871443715937,143.69871443715937,0.0,xauusd,30min,500,4
2025-05,20.093710089716005,1,25,163.79242452687538,143.69871443715937,13.98322188783613,xauusd,30min,500,4
2025-06,-6.216820004056409,3,30,157.575604522819,163.79242452687538,-3.7955479455256134,xauusd,30min,500,4
2025-07,-1.7538145948955446,20,30,155.82178992792342,157.575604522819,-1.112998804736662,xauusd,30min,500,4
2025-08,58.24309209384871,16,17,214.06488202177212,155.82178992792342,37.378015052188466,xauusd,30min,500,4
2025-09,46.76087852466274,18,20,260.8257605464349,214.06488202177212,21.844254920761262,xauusd,30min,500,4
2025-10,10.83929484344744,5,20,271.66505538988235,260.8257605464349,4.1557608499785115,xauusd,30min,500,4
2025-11,50.352289228264205,4,15,322.0173446181465,271.66505538988235,18.534694922760934,xauusd,30min,500,4
2025-12,-45.18472310998557,19,24,276.83262150816097,322.0173446181465,-14.031766880000319,xauusd,30min,500,4
2026-01,4.770431128507006,3,18,281.60305263666794,276.83262150816097,1.7232185652536525,xauusd,30min,500,4
2026-02,0.0,0,14,281.60305263666794,281.60305263666794,0.0,xauusd,30min,500,4
2026-03,0.0,0,23,281.60305263666794,281.60305263666794,0.0,xauusd,30min,500,4
2026-04,-20.80139459711576,2,26,260.8016580395522,281.60305263666794,-7.38677880170365,xauusd,30min,500,4
2026-05,6.991566163984935,1,24,267.79322420353714,260.8016580395522,2.6807982037156455,xauusd,30min,500,4
2026-06,0.0,0,18,267.79322420353714,267.79322420353714,0.0,xauusd,30min,500,4
2026-07,67.46672278758692,13,25,335.259946991124,267.79322420353714,25.193588444309782,xauusd,30min,500,4
2026-08,-27.95109331545648,17,31,307.3088536756676,335.259946991124,-8.337140647521633,xauusd,30min,500,4
2024-01,-191.51345208022798,34,34,308.486547919772,500.0,-38.3026904160456,xauusd,30min,500,5
2024-02,-83.72561677961819,22,22,224.76093114015384,308.486547919772,-27.140767512946034,xauusd,30min,500,5
2024-03,-25.10267670677244,22,22,199.6582544333814,224.76093114015384,-11.168612169131475,xauusd,30min,500,5
2024-04,-52.017854629233014,24,25,147.6403998041484,199.6582544333814,-26.053445562196607,xauusd,30min,500,5
2024-05,3.747836849196479,24,24,151.38823665334485,147.6403998041484,2.538490043489555,xauusd,30min,500,5
2024-06,-16.788530213375093,23,23,134.59970643996974,151.38823665334485,-11.0897191119401,xauusd,30min,500,5
2024-07,24.370279328023276,21,21,158.96998576799302,134.59970643996974,18.105744783991934,xauusd,30min,500,5
2024-08,-6.564020637823508,16,18,152.40596513016953,158.96998576799302,-4.129094310546957,xauusd,30min,500,5
2024-09,-48.15960027702772,25,29,104.24636485314181,152.40596513016953,-31.599550736675386,xauusd,30min,500,5
2024-10,47.512141446530926,20,22,151.75850629967272,104.24636485314181,45.5767848725125,xauusd,30min,500,5
2024-11,79.97135767861452,21,21,231.72986397828726,151.75850629967272,52.69645809553345,xauusd,30min,500,5
2024-12,-41.62392278845182,24,24,190.10594118983545,231.72986397828726,-17.96226091616397,xauusd,30min,500,5
2025-01,-43.82796890702432,35,35,146.2779722828111,190.10594118983545,-23.054497209668327,xauusd,30min,500,5
2025-02,-25.58365487070973,17,21,120.69431741210138,146.2779722828111,-17.48975219676054,xauusd,30min,500,5
2025-03,-6.813778378184473,11,19,113.88053903391693,120.69431741210138,-5.645483999813641,xauusd,30min,500,5
2025-04,0.0,0,25,113.88053903391693,113.88053903391693,0.0,xauusd,30min,500,5
2025-05,20.093710089716005,1,25,133.97424912363294,113.88053903391693,17.644551264137863,xauusd,30min,500,5
2025-06,-4.147359207166829,4,30,129.82688991646614,133.97424912363294,-3.0956390756402743,xauusd,30min,500,5
2025-07,-0.2121322406131796,23,30,129.61475767585296,129.82688991646614,-0.16339622766105755,xauusd,30min,500,5
2025-08,71.24612588801402,17,17,200.860883563867,129.61475767585296,54.967603354388,xauusd,30min,500,5
2025-09,18.0746209168945,20,20,218.9355044807615,200.860883563867,8.998576824017295,xauusd,30min,500,5
2025-10,10.83929484344744,5,20,229.7747993242089,218.9355044807615,4.950907742969538,xauusd,30min,500,5
2025-11,38.88807982746212,5,15,268.66287915167106,229.7747993242089,16.92443207080843,xauusd,30min,500,5
2025-12,-51.605077501832426,19,24,217.0578016498386,268.66287915167106,-19.208116009468977,xauusd,30min,500,5
2026-01,4.770431128507006,3,18,221.82823277834564,217.0578016498386,2.197769945262206,xauusd,30min,500,5
2026-02,0.0,0,14,221.82823277834564,221.82823277834564,0.0,xauusd,30min,500,5
2026-03,0.0,0,23,221.82823277834564,221.82823277834564,0.0,xauusd,30min,500,5
2026-04,-20.80139459711576,2,26,201.0268381812299,221.82823277834564,-9.377252992814872,xauusd,30min,500,5
2026-05,6.991566163984935,1,24,208.01840434521483,201.0268381812299,3.4779267421407147,xauusd,30min,500,5
2026-06,0.0,0,18,208.01840434521483,208.01840434521483,0.0,xauusd,30min,500,5
2026-07,78.06812270961942,12,25,286.0865270548343,208.01840434521483,37.5294306075256,xauusd,30min,500,5
2026-08,-44.161595564826484,18,31,241.9249314900078,286.0865270548343,-15.436447154451988,xauusd,30min,500,5
2024-01,-75.33022755234562,34,34,924.6697724476544,1000.0,-7.533022755234561,xauusd,30min,1000,1
2024-02,-37.89093542724849,22,22,886.778837020406,924.6697724476544,-4.097780262346956,xauusd,30min,1000,1
2024-03,5.515799842827999,22,22,892.2946368632339,886.778837020406,0.6220040006098018,xauusd,30min,1000,1
2024-04,-52.43296777471048,24,25,839.8616690885234,892.2946368632339,-5.876194432708119,xauusd,30min,1000,1
2024-05,7.321311851282749,24,24,847.1829809398062,839.8616690885234,0.871728300117369,xauusd,30min,1000,1
2024-06,-24.26593213202347,23,23,822.9170488077827,847.1829809398062,-2.864308263735955,xauusd,30min,1000,1
2024-07,15.049613256121024,21,21,837.9666620639038,822.9170488077827,1.8288129135159426,xauusd,30min,1000,1
2024-08,-18.510000431368596,16,18,819.4566616325351,837.9666620639038,-2.2089184772313786,xauusd,30min,1000,1
2024-09,-73.77844453315244,29,29,745.6782170993827,819.4566616325351,-9.003336965516858,xauusd,30min,1000,1
2024-10,44.71101555979781,22,22,790.3892326591805,745.6782170993827,5.996020070657207,xauusd,30min,1000,1
2024-11,70.46166469174807,20,21,860.8508973509286,790.3892326591805,8.914805741303852,xauusd,30min,1000,1
2024-12,-38.49273041831407,24,24,822.3581669326145,860.8508973509286,-4.471474739326709,xauusd,30min,1000,1
2025-01,-14.013714774237293,35,35,808.3444521583772,822.3581669326145,-1.7040889648494977,xauusd,30min,1000,1
2025-02,-41.622886511745406,20,21,766.7215656466318,808.3444521583772,-5.149152245754552,xauusd,30min,1000,1
2025-03,-40.0614685120291,19,19,726.6600971346027,766.7215656466318,-5.2250347853777095,xauusd,30min,1000,1
2025-04,-13.100214132618603,2,25,713.5598830019842,726.6600971346027,-1.8027980598186044,xauusd,30min,1000,1
2025-05,20.093710089716005,1,25,733.6535930917001,713.5598830019842,2.8159809104150733,xauusd,30min,1000,1
2025-06,-5.371529283007078,8,30,728.282063808693,733.6535930917001,-0.732161517858972,xauusd,30min,1000,1
2025-07,-3.8503712678767847,27,30,724.4316925408164,728.282063808693,-0.5286923101937342,xauusd,30min,1000,1
2025-08,58.25969442203651,15,17,782.6913869628528,724.4316925408164,8.042123918916483,xauusd,30min,1000,1
2025-09,24.11542708069433,12,20,806.8068140435471,782.6913869628528,3.0810901311015537,xauusd,30min,1000,1
2025-10,-7.842413438196509,1,20,798.9644006053506,806.8068140435471,-0.9720311357922192,xauusd,30min,1000,1
2025-11,0.0,0,15,798.9644006053506,798.9644006053506,0.0,xauusd,30min,1000,1
2025-12,-21.502749328848004,3,24,777.4616512765026,798.9644006053506,-2.6913275876316938,xauusd,30min,1000,1
2026-01,0.0,0,18,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-02,0.0,0,14,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
2026-03,0.0,0,23,777.4616512765026,777.4616512765026,0.0,xauusd,30min,1000,1
