asset,timeframe,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,executable_fraction,final_balance_usd,return_percent,maximum_balance_drawdown_percent,mean_monthly_return_percent,risk_budget_breaches,worst_realized_loss_over_budget,ruined,trades_per_week,trades_per_month,geometric_monthly_return_percent,median_monthly_return_percent,positive_months,negative_months,tail_candidates,tail_executed
xauusd,30min,500,1,745,171,574,0.2295302013422819,445.8379326375124,-10.832413472497526,24.658993424177844,-0.3242732925144627,1,1.171523872862727,False,1.228952772073922,5.34375,-0.35764826014116347,0.0,5,12,33,6
xauusd,30min,500,2,745,394,351,0.5288590604026846,381.21104865607714,-23.757790268784575,42.98355808851691,-0.5350391327595075,1,1.2446310803892606,False,2.831622176591376,12.3125,-0.8440890909631515,0.0,8,14,33,19
xauusd,30min,500,3,745,407,338,0.5463087248322148,265.92364826957413,-46.81527034608517,66.0986041178857,-1.2268584417523423,1,1.716759165951916,False,2.9250513347022586,12.71875,-1.9537828196932505,0.0,10,13,33,19
xauusd,30min,500,4,745,468,277,0.6281879194630873,307.3088536756707,-38.538229264865855,76.34505365168086,0.03883095639221057,1,1.7045599347554943,False,3.3634496919917867,14.625,-1.509598383778854,-0.5650992683549149,11,17,33,27
xauusd,30min,500,5,745,469,276,0.6295302013422819,241.92493149001058,-51.61501370199788,81.52544714413472,0.14662346077660193,1,1.5551335333495355,False,3.3706365503080082,14.65625,-2.2431481963649524,-0.08169811383052877,12,16,33,27
xauusd,30min,1000,1,745,424,321,0.5691275167785235,777.4616512764894,-22.253834872351053,30.21242736538929,-0.7089923911481324,1,1.7923694676800777,False,3.047227926078029,13.25,-0.7835421762736883,0.0,8,15,33,19
xauusd,30min,1000,2,745,589,156,0.7906040268456376,638.1789500518688,-36.182104994813116,52.10371726184712,-0.7905456232776416,1,1.5667201608485157,False,4.23305954825462,18.40625,-1.3937478495474442,-3.4868460406308026,9,20,33,29
xauusd,30min,1000,3,745,520,225,0.697986577181208,414.45856746131255,-58.55414325386874,77.42949892419874,-1.6678202221656395,1,1.7709588726857033,False,3.7371663244353184,16.25,-2.7149099906743968,-5.727505319237539,10,19,33,27
xauusd,30min,1000,4,745,498,247,0.6684563758389261,310.07702687295165,-68.99229731270484,84.62655657890762,-1.7347449959445669,1,1.639416232536274,False,3.5790554414784395,15.5625,-3.5930319522397114,-6.798252998955212,12,17,33,27
xauusd,30min,1000,5,745,478,267,0.6416107382550336,242.18433994870156,-75.78156600512985,90.1459518171579,-1.867102385885963,1,1.6787085341065646,False,3.435318275154004,14.9375,-4.3346721274931665,-1.7281355730952996,11,17,33,27
xauusd,30min,3000,1,745,720,25,0.9664429530201343,2190.017800735894,-26.99940664213687,35.36660450314413,-0.7842694114870136,1,1.601101905493765,False,5.174537987679671,22.5,-0.9786256638128266,-1.2345270377870294,12,20,33,33
xauusd,30min,3000,2,745,734,11,0.9852348993288591,1353.6223074898933,-54.87925641700355,64.6177326466296,-1.6617726884750925,1,1.6946746714469823,False,5.275154004106776,22.9375,-2.45629266646461,-4.525529965820529,12,20,33,33
xauusd,30min,3000,3,745,724,21,0.9718120805369127,721.5304305796551,-75.94898564734483,82.35877066811909,-2.524718483910951,1,1.794290712930312,False,5.2032854209445585,22.625,-4.355408048284115,-6.220813679751083,12,20,33,33
xauusd,30min,3000,4,745,655,90,0.8791946308724832,328.0778510020934,-89.06407163326355,91.80179384713463,-4.199389711318743,1,1.7525080159702107,False,4.707392197125257,20.46875,-6.6822542168104455,-8.855726394630555,10,21,33,31
xauusd,30min,3000,5,745,593,152,0.7959731543624161,230.6261754278553,-92.31246081907149,94.23205604903038,-4.350980653248488,1,1.7593394655969652,False,4.261806981519507,18.53125,-7.704430388347683,-10.098461087293192,10,19,33,28
