signal_time,intercept,f1,f2,f3,f4,f5,asset
2024-01-01 23:00:00+00:00,0.15047320178682083,0.33210606721307456,0.3272610901471518,-0.15203451382664565,-0.16238134879594532,-0.6447897520904012,xauusd
2024-01-31 23:30:00+00:00,0.6350285871305615,-0.4693349466255695,0.18024645359225916,0.09924636562937167,-0.09471349684350076,-0.8048640237465963,xauusd
2024-02-29 23:30:00+00:00,0.8246244831519937,-0.9522920681809732,0.12374870083129215,0.0322336521058927,-0.6330243079219845,-0.46725383906909773,xauusd
2024-03-31 23:30:00+00:00,1.123939464597366,-0.6393613295413829,-0.08456849507154626,0.2883617751392518,-0.7925824008394472,-1.0900403461992874,xauusd
2024-04-30 23:30:00+00:00,0.5158055677962035,-0.5531751202899706,-0.01586211482807629,0.5035848143223045,-0.8588544718413814,-0.2850572508124801,xauusd
2024-06-02 22:00:00+00:00,0.2303861708059505,-0.4999575203129265,-0.4415790310742981,0.3919806454174376,-0.646393998866972,0.4781744749271687,xauusd
2024-06-30 23:30:00+00:00,2.618752294556674,-0.6856350439825888,-0.5615596341624352,0.2193415118310865,-0.4964717324842181,0.5189460441084485,xauusd
2024-07-31 23:30:00+00:00,2.7427297458349584,-0.2147050052470191,0.116574191430025,-0.40346470272106977,-0.9148106255167546,0.0038485236593271944,xauusd
2024-09-01 22:00:00+00:00,0.3255137535554163,-0.1501044234459408,0.9405495722488426,-0.08417941594103517,-0.9193357695574748,-0.43160162982271166,xauusd
2024-09-30 23:30:00+00:00,0.6680763954195114,-1.0169289520371616,0.6960169254431139,0.19241378772339005,0.7753779161124866,-0.758177669095516,xauusd
2024-10-31 23:30:00+00:00,0.8566795937354651,-0.7529621824113129,0.12745795453208128,0.2775438457004139,0.5665880720737492,-0.8806153138010056,xauusd
2024-12-01 23:00:00+00:00,-0.15031363433203798,0.25713833087856847,0.4767843515406514,-0.13549919722491335,0.6164086381793367,-0.21029887565693658,xauusd
2025-01-01 23:00:00+00:00,-0.5807697221165912,0.7505528575699718,0.6003086464077443,-0.2024285580184978,1.5763177818920577,-0.6371583073540278,xauusd
2025-02-02 23:00:00+00:00,0.03867656338403836,0.045949013444598535,-0.4240531012827665,0.40236694772263787,0.7985739824019382,-0.15330871366214616,xauusd
2025-03-02 23:00:00+00:00,0.2522042500014231,0.0944185559501443,-0.6213120142448695,-0.04267073902231725,0.16017336750937067,0.39732735212270415,xauusd
2025-03-31 23:30:00+00:00,0.6330248682665829,0.2647315455760408,-0.12047451299147517,-0.855100738383782,0.43369727324745905,-0.14294219376016395,xauusd
2025-04-30 23:30:00+00:00,0.34565739758716413,0.39566110233101126,-0.43788987326642004,0.18259935432525726,0.4463785392268874,-0.53942819252885,xauusd
2025-06-01 22:00:00+00:00,-0.6336259112039978,0.0077608644625388225,0.6740714552274917,0.4119164856857972,1.2530717246541878,-0.1271922908154567,xauusd
2025-06-30 23:30:00+00:00,-0.023143738062179408,-0.0899429393128772,0.5134008435757254,-0.9781398719671263,1.0355297245940212,0.25919357001500354,xauusd
2025-07-31 23:30:00+00:00,0.27824126500915247,-0.15279024446798725,-0.05310000272132911,-0.5244734632058683,0.06809010562493015,0.24877285139734054,xauusd
2025-08-31 23:30:00+00:00,0.2384567207828235,-0.8692124761610014,-0.12479496426287583,0.5881325912200448,-0.1451923560663886,0.040487771986730946,xauusd
2025-09-30 23:30:00+00:00,0.2710213898461787,-0.7077038124544811,0.1393440284069047,0.6591442184512314,0.5680887607934033,-0.49592650204813055,xauusd
2025-11-02 23:00:00+00:00,-0.03705689201910226,0.06800282737319509,0.021741279611538773,0.9565057909332538,0.15479410908654018,-0.42309373520920623,xauusd
2025-11-30 23:30:00+00:00,0.10655398308610298,0.14183864956439052,-0.28475485252161753,0.45955600036107974,-0.05517913988746658,-0.03388797325639852,xauusd
2026-01-01 23:00:00+00:00,2.2906472287659896,-0.08412334160709399,-0.02313782771326326,-3.045967397603724e-05,0.2678916731605244,-0.005906096074561158,xauusd
2026-02-01 23:00:00+00:00,2.1649300794978257,0.21373097999637225,0.08937757854211771,-0.19659234837770265,0.11590177454005839,0.10979494999231099,xauusd
2026-03-01 23:00:00+00:00,0.808365442288445,0.6257372069709017,-0.14287327979070852,-0.9108631435422393,-0.7969475142625113,-0.40442016142502085,xauusd
2026-03-31 23:30:00+00:00,0.8724851341865834,0.18788848536860367,-0.021624396726049218,-0.8252776774694879,-0.8725348003094725,-0.606366689211382,xauusd
2026-04-30 23:30:00+00:00,0.22496402122350104,-0.40437028050562746,0.16549455826381615,0.05091887507881481,0.2923119201274337,-0.44467111407824544,xauusd
2026-05-31 23:30:00+00:00,0.14621877989331977,-0.2846813333182446,-0.29641742826192585,0.17670284951539686,0.9701408658677542,-0.38984308706945986,xauusd
2026-06-30 23:30:00+00:00,-0.4884045848114618,0.18835456259671288,-0.7168103288239512,0.5511401178982565,1.02212192464288,0.15658249585269035,xauusd
2026-08-02 22:00:00+00:00,-0.7371888508744021,-0.3189020680294953,0.2942825055770698,0.8370267507429725,0.9174809010983617,-0.1270134442347629,xauusd
2024-01-01 23:00:00+00:00,2.312497384262212,-0.353411740101633,0.27832961897652725,0.0434801618875422,0.3535196187477548,-0.45885373698710874,sp500
2024-01-31 23:30:00+00:00,0.45596093280123734,-0.15641961498617152,-0.6371151161783101,0.5583368863720984,-0.9304924940175923,0.13315164363433585,sp500
2024-02-29 23:30:00+00:00,0.20891866081074403,0.5654270873236827,-0.6303838030902783,-0.028974598345764643,-0.25260175270971885,0.07169246395348225,sp500
2024-03-31 23:30:00+00:00,0.43234450153831294,0.3546498950726216,-0.00607148438706506,-0.26073755133344517,0.01791727199838055,-0.4302129623777522,sp500
2024-04-30 23:30:00+00:00,1.8121345112495317,-0.12254298117324242,-0.15592898854302834,0.008957162604286176,0.2290880908852831,0.050288435430511085,sp500
2024-06-02 22:00:00+00:00,1.808358077148128,0.08357585488642383,-0.37280497846446525,-0.27592564804073944,0.4152901992702294,0.24038511958696437,sp500
2024-06-30 23:30:00+00:00,2.2229317209139636,-0.08418909232048027,-0.075195095009746,-0.34051337429652495,0.027061689732538956,0.21716116131404856,sp500
2024-07-31 23:30:00+00:00,1.9764466672281216,0.0008850358365011587,0.32792694683507617,-0.1907741236916433,-0.7001763900268995,0.19246528832518614,sp500
2024-09-01 22:00:00+00:00,2.064034936730711,0.26513510019978953,0.4808957252569411,-0.4076180490363327,-0.8069558195728855,0.17307332657146815,sp500
2024-09-30 23:30:00+00:00,2.545342873834478,-0.015451896146187373,-0.05610863550776849,-1.262366721107705,-0.5264969720748504,0.4416729347288937,sp500
2024-10-31 23:30:00+00:00,2.2217153659228717,-0.28284729868678665,-0.1501823082775545,-1.1379649173259472,-0.11871119413017112,0.7183127316538592,sp500
2024-12-01 23:00:00+00:00,1.8322147513582503,0.07922406605808005,-0.261119127839168,-0.21625724236333618,0.10772909580234373,0.5081525688846849,sp500
2025-01-01 23:00:00+00:00,1.6482980157551923,0.12178772588873665,-0.3503200898181243,0.5120035753112131,-0.07109743563543333,0.062107491211266755,sp500
2025-02-02 23:00:00+00:00,1.9410901041857962,-0.3335932262615197,-0.07701909788918129,0.2839544769849447,-0.40725742129578063,0.2754825397432477,sp500
2025-03-02 23:00:00+00:00,2.284828516656991,-0.48577087743335995,-0.10957720431976917,-0.1847318200768696,-0.32417215515145514,0.5008787505014691,sp500
2025-03-31 23:30:00+00:00,2.135935157890062,-0.5085526758102914,-0.1959909322112708,0.30247232664701457,0.08617048199517062,0.08584565079060005,sp500
2025-04-30 23:30:00+00:00,2.0747800900071227,0.0722004881147073,0.05649520160937227,0.09630591307020676,0.07867453375321633,-0.01484065329582436,sp500
2025-06-01 22:00:00+00:00,2.239597868477129,-0.03451072426460899,0.4300924953805704,-0.6284941384298693,-0.014631362747098357,0.2154890768714857,sp500
2025-06-30 23:30:00+00:00,2.3593433020828574,-0.42708880934699917,0.6212877857944435,-0.30141245487632146,0.22976822060358743,-0.10572647775238662,sp500
2025-07-31 23:30:00+00:00,2.25483076351108,-0.7040170817826823,0.6483669080428941,0.3156977622160949,-0.2201679170803524,0.0022041054455628874,sp500
2025-08-31 23:30:00+00:00,1.9734336501227248,-0.45083037365532574,0.6742776032642056,0.17175315804687014,-0.2316265263658608,-0.07810120364725287,sp500
2025-09-30 23:30:00+00:00,2.1830973013284134,0.13639545306370965,0.32888790217192004,-0.6955448558235419,-0.1969697292208413,0.05424588580666578,sp500
2025-11-02 23:00:00+00:00,2.3793106369090893,0.45330743337972734,0.2912971525684687,-0.7888128948034611,-0.013984470795280445,-0.05913528630336298,sp500
2025-11-30 23:30:00+00:00,2.0829296542088103,0.8984940343069829,0.30160940517248597,-0.5452266608711691,0.3152951838452251,-0.42736445560833874,sp500
2026-01-01 23:00:00+00:00,2.2970080694660244,0.5057042314194222,0.2528741193916211,-0.8552879768654814,0.2581173910975667,-0.1392174732851669,sp500
2026-02-01 23:00:00+00:00,0.3448296157973592,-0.5918614166871672,0.6405862728785142,-0.3176587903952603,0.47437366759422434,-0.2162963170635381,sp500
2026-03-01 23:00:00+00:00,-0.054957390160536995,-0.32908046651348855,0.5785942001635743,-0.08155331447867922,0.5235394740748309,0.022898291273879254,sp500
2026-03-31 23:30:00+00:00,-0.45312171141596236,-0.20661582772940315,0.8718050803682401,0.22677447836091472,0.30333051651939225,-0.19876142280140066,sp500
2026-04-30 23:30:00+00:00,-0.09422418136860469,-0.21686800999754396,0.27118856179176426,0.8760329973554193,0.09847361467065291,-0.5715098102834956,sp500
2026-05-31 23:30:00+00:00,2.2646738525472925,-0.6950654741461484,-0.07297032082957884,0.42048789287368643,-0.10035382382241313,-0.21080872085280364,sp500
2026-06-30 23:30:00+00:00,1.941523352316692,-0.17327691294944478,0.2855775920144231,-0.03622306196835227,0.02651248266410784,-0.2963388048127717,sp500
2026-08-02 22:00:00+00:00,0.49908175896050905,-0.6804890751453896,0.6220460030306022,0.26183327924711974,-0.6125134034986583,-0.8706179359922365,sp500
