asset,cost,model,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10,long_r,short_r,trades_per_month,mean_monthly_r,mean_holding_hours
xauusd,base,lorentzian,745,5.354209445585216,-32.47899357005579,-0.043595964523564824,-0.9999999999999765,0.3959731543624161,0.9274649770392287,46.78740824732137,-98.89537317780659,42.61768472667703,-75.09667829673282,23.28125,-1.0149685490642435,3.8984116331096197
xauusd,base,logistic,207,1.4876796714579057,4.594958753354085,0.022197868373691233,-0.9999999999999726,0.4057971014492754,1.0376843763784418,17.255974382642073,-40.00834709036832,15.486764404082587,-10.891805650728495,6.46875,0.14359246104231516,3.9896940418679545
xauusd,base,prior,19,0.13655030800821355,1.519174350571455,0.07995654476691869,-0.9999999999999671,0.47368421052631576,1.151917435057145,5.711761549273465,-9.000000000000075,2.7567568829254547,-1.2375825323540002,0.59375,0.04747419845535797,4.530701754385966
xauusd,stress,lorentzian,743,5.339835728952772,-61.60966013272534,-0.0829201347681364,-0.9999999999999993,0.38492597577388965,0.8645560315558501,74.29327264048482,-124.06455221465046,30.417827672212734,-92.02748780493806,23.21875,-1.9253018791476668,4.01271870794078
xauusd,stress,logistic,207,1.4876796714579057,-5.848954425771634,-0.02825581848198857,-0.9999999999999993,0.391304347826087,0.9531949033779484,24.92291640394173,-49.47896589369572,7.333273111990365,-13.182227537761996,6.46875,-0.18277982580536356,3.9709339774557155
xauusd,stress,prior,19,0.13655030800821355,0.8851265931444116,0.046585610165495346,-1.000000000000001,0.47368421052631576,1.088512659314437,6.0989669833200955,-9.00000000000046,2.334218486599997,-1.4490918934555852,0.59375,0.02766020603576286,4.512280701754386
sp500,base,lorentzian,688,4.944558521560575,72.76679017194299,0.10576568338945201,-1.0000000000000133,0.3851744186046512,1.1722625876511348,27.223103012996447,-14.640498813114794,75.32972228618186,-2.5629321142388903,21.5,2.2739621928732183,3.945106589147287
sp500,base,logistic,299,2.148870636550308,-6.522785716153014,-0.02181533684332112,-1.0000000000000178,0.36789297658862874,0.966273396766163,24.495993008838575,-64.44173613520752,28.839131843643607,-35.36191755979662,9.34375,-0.2038370536297817,3.9347268673355624
sp500,base,prior,6,0.043121149897330596,5.1579942162896,0.8596657027149334,0.16056273976034646,0.6666666666666666,3.5789971081446867,1.0000000000000502,0.0,7.042417633582178,-1.8844234172925782,0.1875,0.16118731925905,5.952777777777778
sp500,stress,lorentzian,689,4.9517453798767965,31.80717278534519,0.04616425658250391,-1.0000000000000098,0.37010159651669083,1.0733494007216906,32.891339804485916,-52.962204763037505,66.02014180211457,-34.21296901676938,21.53125,0.9939741495420372,3.884276729559748
sp500,stress,logistic,299,2.148870636550308,-14.063624754132155,-0.04703553429475637,-1.0000000000000102,0.35451505016722407,0.9268056301770865,28.708263688002425,-70.76151024090123,21.969396969165317,-36.033021723297466,9.34375,-0.43948827356662984,3.7586399108138244
sp500,stress,prior,6,0.043121149897330596,4.99758562864735,0.8329309381078916,0.14213032559949632,0.6666666666666666,3.498792814323577,1.0000000000000453,0.0,6.897535208427103,-1.8999495797797525,0.1875,0.1561745508952297,5.952777777777778
