asset,side,horizon_minutes,candidates,valid,mean_endpoint_r,median_shadow_mfe_r,mean_shadow_mfe_r,median_shadow_mae_r,positive_endpoint_fraction,positive_first,negative_first,ambiguous,neither,initial_stop_recovery_denominator,initial_stop_recovery_count
sp500,all,30,688,676,-0.04848262121311768,0.42482732358938813,0.6413983680652572,-0.5933823722801612,0.4349112426035503,138,148,0,390,0,0
sp500,all,120,688,608,0.03310886420237052,0.9859951349820721,1.40548117809084,-1.0541418141439316,0.5164473684210527,254,273,0,81,304,57
sp500,all,240,688,534,0.036806897516554304,1.5297566243327854,2.0428527242836862,-1.4421760855002288,0.5074906367041199,244,268,0,22,0,0
sp500,long,30,308,303,0.023454051498154223,0.42386787270313586,0.6166296474983628,-0.5134387120757472,0.47194719471947194,64,59,0,180,0,0
sp500,long,120,308,269,0.2213178531770223,1.0477264910316368,1.370388997542534,-0.852134122887598,0.587360594795539,120,101,0,48,114,22
sp500,long,240,308,235,0.3258031625352942,1.6651860592126662,2.021425041710362,-1.2809408737106114,0.5829787234042553,117,106,0,12,0,0
sp500,short,30,380,373,-0.10691911405900342,0.42523661720594136,0.661518803271072,-0.65231648830967,0.40482573726541554,74,89,0,210,0,0
sp500,short,120,380,339,-0.11623691170966878,0.9605269461511047,1.43332718566457,-1.1936406410983058,0.46017699115044247,134,172,0,33,190,35
sp500,short,240,380,299,-0.190330635190482,1.4282723763870249,2.0596938794834556,-1.5839157425268273,0.44816053511705684,127,162,0,10,0,0
xauusd,all,30,745,743,-0.04565711488224819,0.47018800856521126,0.6304227957445269,-0.5001226289918078,0.44818304172274565,137,142,1,463,0,0
xauusd,all,120,745,730,-0.03300889018438048,0.8442214906159289,1.2048293798319167,-0.8726574159770756,0.4780821917808219,283,290,1,156,313,38
xauusd,all,240,745,684,-0.000407953478713693,1.2082005037186392,1.6239592521008528,-1.1920415991643685,0.4766081871345029,309,320,1,54,0,0
xauusd,long,30,390,388,-0.039678127111613795,0.4742678807146634,0.6532193338966946,-0.47178966372165076,0.46134020618556704,72,72,1,243,0,0
xauusd,long,120,390,384,0.029488536512723967,0.9307913424742483,1.2296147398411628,-0.8409323737352208,0.5260416666666666,160,142,1,81,154,21
xauusd,long,240,390,359,0.028540749062694,1.279929693464631,1.6601551762151072,-1.1576027944076914,0.4958217270194986,171,156,1,31,0,0
xauusd,short,30,355,355,-0.0521918958822655,0.45254946935483925,0.6055071427782139,-0.5085473519501332,0.43380281690140843,65,70,0,220,0,0
xauusd,short,120,355,346,-0.10237019611411487,0.7658658339578992,1.1773219282609615,-0.9341544490020655,0.42485549132947975,123,148,0,75,159,17
xauusd,short,240,355,325,-0.0323851356706071,1.1894741011519436,1.5839766774638764,-1.2243643318854913,0.4553846153846154,138,164,0,23,0,0
