asset,side,trades,mean_net_r,win_rate,mean_mfe_lower_r,mean_mfe_upper_r,mean_giveback_lower_r,mean_giveback_upper_r,median_mae_r,mfe_at_least_1r_fraction,mfe_at_least_3r_fraction,trail_activation_fraction,touch_1r_without_trail_fraction,median_peak_minutes_positive_mfe,median_holding_minutes,mean_winner_r,winner_mean_mfe_r,winner_mean_giveback_r,activated_count,activated_mean_net_r,activated_mean_mfe_r,activated_mean_giveback_r,initial_stop_count,stopped_touch_1r_fraction,median_preentry_120m_atr,preentry_valid_count,mean_intrabar_over_completed_peak_r
sp500,all,688,0.10576568338945204,0.3851744186046512,1.5799492669337005,1.5836392772777848,1.4741835835442487,1.4778735938883327,-1.000000000000013,0.48546511627906974,0.15988372093023256,0.37790697674418605,0.10755813953488372,40.0,83.5,1.8686212455712876,3.301583024038448,1.4329617784671609,260,1.8885034192262604,3.3463361683678112,1.4578327491415508,420,0.16666666666666666,1.8918716373643267,663,0.3998449082347293
sp500,long,308,0.24457702040968138,0.4383116883116883,1.6566219804601223,1.657133811293489,1.412044960050441,1.4125567908838077,-1.0000000000000075,0.525974025974026,0.14935064935064934,0.4253246753246753,0.10064935064935066,58.0,106.5,1.8391798719086438,3.143616552595925,1.304436680687281,131,1.8695237676119283,3.21012403284202,1.3406002652300921,172,0.1686046511627907,1.8234384542847042,296,0.3531050928201548
sp500,short,380,-0.0067445581953654915,0.34210526315789475,1.517804014917548,1.5240700233913713,1.5245485731129138,1.5308145815867369,-1.000000000000019,0.45263157894736844,0.16842105263157894,0.3394736842105263,0.11315789473684211,32.0,67.5,1.899194979759417,3.465625128997991,1.5664301492385742,129,1.9077773290051556,3.484660119948265,1.5768827909431096,248,0.16532258064516128,1.9617797044230114,367,0.4377287586233845
xauusd,all,745,-0.043595964523564824,0.3959731543624161,1.44822075662864,1.4505018216688932,1.4918167211522049,1.494097786192458,-0.9999999999999764,0.47651006711409394,0.14228187919463087,0.3906040268456376,0.08590604026845637,41.0,107.0,1.4077654850580155,2.8962887092041134,1.4885232241460977,291,1.4102037941480037,2.925160150921168,1.5149563567731643,445,0.1393258426966292,1.8529361998359644,695,0.40788386453717573
xauusd,long,390,0.10927611468378727,0.44358974358974357,1.5704530946037913,1.5748105137191464,1.4611769799200043,1.4655343990353593,-0.9999999999999658,0.5153846153846153,0.1641025641025641,0.4358974358974359,0.07948717948717948,50.0,121.5,1.494728605134058,2.925252345857577,1.430523740723519,170,1.4976954932033322,2.9636869981625136,1.4659915049591812,215,0.13953488372093023,1.8552401058506505,358,0.3831504022965588
xauusd,short,355,-0.2115399388640361,0.3436619718309859,1.3139373430784742,1.3139373430784742,1.5254772819425104,1.5254772819425104,-0.9999999999999852,0.43380281690140843,0.11830985915492957,0.3408450704225352,0.09295774647887324,33.0,99.0,1.2844489295403476,2.8552173228020687,1.570768393261722,121,1.2872815723347317,2.8710315225655583,1.5837499502308268,230,0.1391304347826087,1.8505448743142,337,0.4350558371395437
