asset,variant,month,net_bps,trades,year
sp500,simple_momentum4,2025-03,-15.399497079972779,4,2025
sp500,simple_momentum4,2025-04,126.70967355252384,5,2025
sp500,simple_momentum4,2025-05,33.97806730290792,1,2025
sp500,simple_momentum4,2025-06,-37.125570136552994,5,2025
sp500,simple_momentum4,2025-07,-193.41775496689743,7,2025
sp500,simple_momentum4,2025-08,-40.625639234469226,4,2025
sp500,simple_momentum4,2025-09,34.29015250838815,3,2025
sp500,simple_momentum4,2025-10,-77.41883539791338,8,2025
sp500,simple_momentum4,2025-11,129.73750515193862,3,2025
sp500,simple_momentum4,2025-12,-26.217512292817673,5,2025
sp500,simple_momentum4,2026-01,-189.56397438631066,10,2026
sp500,simple_momentum4,2026-02,-192.39506149064272,2,2026
sp500,simple_momentum4,2026-03,42.06920701703912,8,2026
sp500,simple_momentum4,2026-04,-81.37489923096393,2,2026
sp500,simple_momentum4,2026-05,34.149078939929794,4,2026
sp500,simple_momentum4,2026-06,90.86193322742727,6,2026
sp500,simple_momentum4,2026-07,-128.681912961349,4,2026
sp500,simple_momentum4,2026-08,39.89525859183151,2,2026
sp500,filter_only_kernel,2024-01,117.87220158504863,4,2024
sp500,filter_only_kernel,2024-02,110.23018013699948,5,2024
sp500,filter_only_kernel,2024-03,-76.02342836061933,6,2024
sp500,filter_only_kernel,2024-04,-294.17346406941095,5,2024
sp500,filter_only_kernel,2024-05,43.54460434455698,2,2024
sp500,filter_only_kernel,2024-06,68.76355531361817,2,2024
sp500,filter_only_kernel,2024-07,-9.353122139785388,7,2024
sp500,filter_only_kernel,2024-08,106.33771074538589,4,2024
sp500,filter_only_kernel,2024-09,112.55879689513725,2,2024
sp500,filter_only_kernel,2024-10,-15.57086398808346,7,2024
sp500,filter_only_kernel,2024-11,296.7524987999065,3,2024
sp500,filter_only_kernel,2024-12,104.15379774366868,5,2024
sp500,filter_only_kernel,2025-01,217.00810608573815,5,2025
sp500,filter_only_kernel,2025-02,-139.67393528816115,5,2025
sp500,filter_only_kernel,2025-03,-15.399497079972779,4,2025
sp500,filter_only_kernel,2025-04,126.70967355252384,5,2025
sp500,filter_only_kernel,2025-05,21.05092232624554,2,2025
sp500,filter_only_kernel,2025-06,-58.06536696528627,4,2025
sp500,filter_only_kernel,2025-07,-193.41775496689743,7,2025
sp500,filter_only_kernel,2025-08,-35.47936259699566,3,2025
sp500,filter_only_kernel,2025-09,34.29015250838815,3,2025
sp500,filter_only_kernel,2025-10,-77.41883539791338,8,2025
sp500,filter_only_kernel,2025-11,-179.14891248771247,5,2025
sp500,filter_only_kernel,2025-12,-26.217512292817673,5,2025
sp500,filter_only_kernel,2026-01,-189.56397438631066,10,2026
sp500,filter_only_kernel,2026-02,34.812775255843036,2,2026
