asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,15min,full_history,simple_momentum4,2025-08,-94.3513456789218,60,2025
sp500,15min,full_history,simple_momentum4,2025-09,-168.73937927772025,64,2025
sp500,15min,full_history,simple_momentum4,2025-10,20.841568566447222,69,2025
sp500,15min,full_history,simple_momentum4,2025-11,129.31519090077074,49,2025
sp500,15min,full_history,simple_momentum4,2025-12,-27.595632481867995,63,2025
sp500,15min,full_history,simple_momentum4,2026-01,-53.741889645690335,54,2026
sp500,15min,full_history,simple_momentum4,2026-02,-38.45769720979784,60,2026
sp500,15min,full_history,simple_momentum4,2026-03,-195.88834721470425,56,2026
sp500,15min,full_history,simple_momentum4,2026-04,-19.98501971241418,66,2026
sp500,15min,full_history,simple_momentum4,2026-05,-298.7147639900491,63,2026
sp500,15min,full_history,simple_momentum4,2026-06,-119.14865879576485,70,2026
sp500,15min,full_history,simple_momentum4,2026-07,15.556808436044223,74,2026
sp500,15min,full_history,simple_momentum4,2026-08,-143.01909352205024,50,2026
sp500,15min,full_history,filter_only_kernel,2024-01,-57.81478419183416,63,2024
sp500,15min,full_history,filter_only_kernel,2024-02,-4.094363827191752,53,2024
sp500,15min,full_history,filter_only_kernel,2024-03,-68.39314923146341,58,2024
sp500,15min,full_history,filter_only_kernel,2024-04,76.64752348442036,63,2024
sp500,15min,full_history,filter_only_kernel,2024-05,-23.981440791671048,57,2024
sp500,15min,full_history,filter_only_kernel,2024-06,-398.55267633626806,59,2024
sp500,15min,full_history,filter_only_kernel,2024-07,-15.439940763146813,51,2024
sp500,15min,full_history,filter_only_kernel,2024-08,136.96393562957465,62,2024
sp500,15min,full_history,filter_only_kernel,2024-09,63.03070524521854,72,2024
sp500,15min,full_history,filter_only_kernel,2024-10,156.7858390370935,57,2024
sp500,15min,full_history,filter_only_kernel,2024-11,131.9656982072203,57,2024
sp500,15min,full_history,filter_only_kernel,2024-12,13.811363177418352,47,2024
sp500,15min,full_history,filter_only_kernel,2025-01,-459.68784989714857,60,2025
sp500,15min,full_history,filter_only_kernel,2025-02,32.48663907716613,65,2025
sp500,15min,full_history,filter_only_kernel,2025-03,232.56544622094032,50,2025
sp500,15min,full_history,filter_only_kernel,2025-04,-1039.8659852441824,56,2025
sp500,15min,full_history,filter_only_kernel,2025-05,35.84851522470691,58,2025
sp500,15min,full_history,filter_only_kernel,2025-06,-30.294135941311012,60,2025
sp500,15min,full_history,filter_only_kernel,2025-07,-264.10967551235285,61,2025
sp500,15min,full_history,filter_only_kernel,2025-08,-98.42466036514058,57,2025
sp500,15min,full_history,filter_only_kernel,2025-09,-230.41893797289742,66,2025
sp500,15min,full_history,filter_only_kernel,2025-10,46.05215788532481,66,2025
sp500,15min,full_history,filter_only_kernel,2025-11,96.07327812323486,50,2025
sp500,15min,full_history,filter_only_kernel,2025-12,27.924248139082163,63,2025
sp500,15min,full_history,filter_only_kernel,2026-01,45.58882521142797,56,2026
sp500,15min,full_history,filter_only_kernel,2026-02,56.96494385650337,59,2026
sp500,15min,full_history,filter_only_kernel,2026-03,-187.25525043413134,58,2026
sp500,15min,full_history,filter_only_kernel,2026-04,-50.664918218084225,64,2026
sp500,15min,full_history,filter_only_kernel,2026-05,-334.4559963010243,67,2026
sp500,15min,full_history,filter_only_kernel,2026-06,-1.629487708392646,70,2026
sp500,15min,full_history,filter_only_kernel,2026-07,2.4916851599828735,75,2026
sp500,15min,full_history,filter_only_kernel,2026-08,-85.88978848404574,48,2026
sp500,15min,recent_2000_scored_bars,official_original_recent,2026-07,-62.75718175178181,3,2026
sp500,15min,recent_2000_scored_bars,official_original_recent,2026-08,-135.9312338492418,48,2026
sp500,30min,full_history,causal_lorentzian,2024-01,-175.30488397545014,30,2024
sp500,30min,full_history,causal_lorentzian,2024-02,36.790952002089426,18,2024
sp500,30min,full_history,causal_lorentzian,2024-03,23.31745878889678,18,2024
sp500,30min,full_history,causal_lorentzian,2024-04,-38.819579686370915,19,2024
