asset,policy,cost,year,direction,regime,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
xauusd,baseline,base,2024,-1,bull,128,0.919917864476386,-28.609210550387857,-0.22350945742490513,-0.9999999999999793,0.328125,0.6676886906962305,46.80099674781576,-65.99304389720496
xauusd,baseline,base,2024,1,bull,158,1.1355236139630391,12.80402185287156,0.08103811299285797,-0.9999999999999587,0.43037974683544306,1.143913335663214,9.492631225499359,-29.6959820976895
xauusd,baseline,base,2025,-1,bull,131,0.9414784394250514,-31.961959448429717,-0.24398442327045586,-0.9999999999999799,0.3435114503816794,0.6226795526854608,34.411446339990356,-59.17408831940921
xauusd,baseline,base,2025,1,bull,150,1.0780287474332648,24.67672920107794,0.16451152800718627,-0.9999999999999634,0.47333333333333333,1.3123636607731362,9.56340398069187,-20.57503992450236
xauusd,baseline,base,2026,-1,bear,21,0.1509240246406571,4.811909934322025,0.2291385683010488,-0.9999999999999795,0.47619047619047616,1.4374463576656369,5.000000000000048,-11.000000000000046
xauusd,baseline,base,2026,-1,bull,66,0.4743326488706366,-22.2502286892737,-0.3371246771102076,-1.000000000000011,0.3181818181818182,0.5055517997704098,22.25022868927371,-39.74297599277939
xauusd,baseline,base,2026,-1,mixed,9,0.0646817248459959,2.912810457036427,0.32364560633738076,-1.000000000000021,0.4444444444444444,1.5825620914072636,3.000000000000118,0.0
xauusd,baseline,base,2026,1,bear,23,0.16529774127310062,10.491253223485622,0.4561414444993748,0.18488684015325377,0.5217391304347826,1.95375029304412,3.0000000000000435,-10.549831792831021
xauusd,baseline,base,2026,1,bull,47,0.337782340862423,-4.736116240928515,-0.10076843065805352,-1.000000000000009,0.3404255319148936,0.847222056744246,12.595858264672128,-29.428155719222325
xauusd,baseline,base,2026,1,mixed,12,0.08624229979466119,-0.6182033098295789,-0.051516942485798245,-0.4676924476889317,0.5,0.8969661150284058,3.54105091215673,-2.0000000000000786
xauusd,long_only,base,2024,1,bull,158,1.1355236139630391,12.80402185287156,0.08103811299285797,-0.9999999999999587,0.43037974683544306,1.143913335663214,9.492631225499359,-29.6959820976895
