schedule,matched_entry_events,anchor_trades,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10,holding_hours
0,390,390,361,2.5944558521560577,13.555707202974173,0.037550435465302415,-0.999999999999968,0.4155124653739612,1.064533729181637,23.210203405250137,-44.26550148425724,1497.4666666666667
1,390,390,361,2.5944558521560577,66.0720911666025,0.18302518328698755,-0.9999999999999665,0.4265927977839335,1.323297474152722,27.407783561697315,4.277713551732919,1641.3166666666666
2,390,390,367,2.637577002053388,20.77227255777497,0.05660019770510891,-0.9999999999999731,0.4087193460490463,1.09572475833076,19.614108990164258,-52.05906368946792,1223.0
3,390,390,368,2.64476386036961,29.608868279944243,0.08045888119550067,-0.9999999999999667,0.42391304347826086,1.1390819556225409,21.0774236357058,-32.17443113512216,1772.8166666666666
4,390,390,361,2.5944558521560577,65.6385377130257,0.18182420419120693,-0.9999999999999696,0.45706371191135736,1.337908824037265,32.608674977857625,2.55292206250601,1441.4833333333333
5,390,390,363,2.6088295687885013,37.60146575608307,0.10358530511317651,-0.9999999999999745,0.40771349862258954,1.1755392600858179,19.782295440668413,-24.86684183193701,1337.2999999999997
6,390,390,360,2.5872689938398357,22.922929057510956,0.06367480293753043,-0.9999999999999738,0.4111111111111111,1.108323310166843,21.945608187232764,-31.103749520095572,1345.7499999999998
7,390,390,361,2.5944558521560577,72.07331816228343,0.19964908078194854,-0.9999999999999672,0.44598337950138506,1.3623454056205633,13.436858059588705,9.097420675374348,1673.9833333333331
8,390,390,361,2.5944558521560577,43.24172205762613,0.11978316359453221,-0.9999999999999629,0.42382271468144045,1.2088891037949854,17.124370838718534,-14.003522754746673,1565.3833333333332
9,390,390,361,2.5944558521560577,42.23539120022193,0.11699554349091948,-0.9999999999999587,0.4404432132963989,1.2112513117957886,24.520340713292875,-13.146400024040124,1566.2666666666667
10,390,390,365,2.623203285420945,-4.500747288848286,-0.012330814489995305,-0.9999999999999619,0.43561643835616437,0.9780723465472148,24.889748373910912,-47.92393251814687,1484.8
11,390,390,370,2.6591375770020536,85.49206540558734,0.23105963623131714,-0.9999999999999476,0.4648648648648649,1.435138539957525,14.123686697841833,24.954667439384465,1607.8
12,390,390,365,2.623203285420945,9.502517126124587,0.026034293496231747,-0.9999999999999739,0.39452054794520547,1.0432650717599659,30.69653570861611,-42.51218734424799,1475.95
13,390,390,361,2.5944558521560577,-29.14131936700447,-0.08072387636289327,-0.9999999999999795,0.3850415512465374,0.8671920402583255,48.14938504708377,-83.78114261003263,1433.4
14,390,390,364,2.616016427104723,-9.883872411997174,-0.027153495637354873,-0.9999999999999742,0.4010989010989011,0.9545192572485676,66.19556994000152,-62.98511054659848,1424.3333333333335
15,390,390,359,2.580082135523614,39.78124049154492,0.11081125485110006,-0.9999999999999649,0.4373259052924791,1.1981672015086704,15.52849190120093,-22.78455709883569,1493.5333333333333
16,390,390,365,2.623203285420945,5.86056996216335,0.016056356060721505,-0.9999999999999761,0.4,1.026790235808526,22.881958794005048,-55.77454513914271,1330.6833333333334
17,390,390,374,2.6878850102669407,-36.32365978647138,-0.0971220849905652,-0.9999999999999757,0.35561497326203206,0.848273522985617,45.4298895894585,-89.3175329566963,1516.9666666666667
18,390,390,367,2.637577002053388,-16.12852973104884,-0.043946947496045885,-0.9999999999999734,0.3814713896457766,0.9278886929921492,28.164536224110403,-64.45979066617969,1445.7166666666667
19,390,390,361,2.5944558521560577,-5.386971682313139,-0.01492235923078432,-0.999999999999968,0.4293628808864266,0.9738212296182381,33.69458496887954,-57.03345811395566,1589.6333333333332
