asset,policy,cost,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10,holding_hours
xauusd,baseline,base,745,5.354209445585216,-32.47899357005579,-0.043595964523564824,-0.9999999999999765,0.3959731543624161,0.9274649770392287,46.78740824732137,-98.89537317780659,2904.3166666666666
xauusd,long_only,base,390,2.802874743326489,42.61768472667703,0.10927611468378724,-0.9999999999999659,0.44358974358974357,1.1973311705594534,13.885854424031912,-15.640362158866026,1585.8833333333332
xauusd,short_only,base,355,2.551334702258727,-75.09667829673282,-0.2115399388640361,-0.9999999999999853,0.3436619718309859,0.6760273631293878,82.46904984918514,-122.86949968576475,1318.4333333333334
xauusd,trend_aligned,base,377,2.709445585215606,39.162151126326414,0.10387838495046794,-0.9999999999999665,0.4403183023872679,1.18651275535963,13.885854424031912,-17.640214578271923,1533.5333333333333
xauusd,baseline,stress,743,5.339835728952772,-61.60966013272534,-0.0829201347681364,-0.9999999999999993,0.38492597577388965,0.8645560315558501,74.29327264048482,-124.06455221465046,2981.45
xauusd,long_only,stress,388,2.7885010266940453,30.417827672212734,0.07839646307271324,-0.9999999999999925,0.4329896907216495,1.138886173927298,15.35222195498983,-26.389060574571047,1612.6666666666667
xauusd,short_only,stress,355,2.551334702258727,-92.02748780493806,-0.25923236001391003,-1.0000000000000036,0.3323943661971831,0.6098203904864054,98.59207087639604,-134.76269185377998,1368.7833333333333
xauusd,trend_aligned,stress,375,2.6950718685831623,27.230509591554686,0.07261469224414582,-0.9999999999999943,0.42933333333333334,1.1278351816845427,15.35222195498983,-28.12310341854949,1559.9333333333334
sp500,baseline,base,688,4.944558521560575,72.76679017194299,0.10576568338945201,-1.0000000000000133,0.3851744186046512,1.1722625876511348,27.223103012996447,-14.640498813114794,2714.2333333333336
sp500,long_only,base,308,2.213552361396304,75.32972228618186,0.24457702040968138,-1.0000000000000075,0.4383116883116883,1.4355337288243035,16.614445337521673,-6.244959913219139,1607.65
sp500,short_only,base,380,2.731006160164271,-2.5629321142388903,-0.006744558195365501,-1.000000000000019,0.34210526315789475,0.9897260090162135,37.902316415319895,-63.49360374715387,1106.5833333333335
sp500,trend_aligned,base,296,2.127310061601643,67.06931032647152,0.22658550785970108,-1.0000000000000067,0.4358108108108108,1.4010365492680528,16.129157711943932,-10.183791859794226,1529.7000000000003
sp500,baseline,stress,689,4.9517453798767965,31.80717278534519,0.04616425658250391,-1.0000000000000098,0.37010159651669083,1.0733494007216906,32.891339804485916,-52.962204763037505,2676.2666666666664
sp500,long_only,stress,308,2.213552361396304,66.02014180211457,0.2143511097471252,-1.0000000000000018,0.4318181818181818,1.377308285401519,17.47635135326702,-15.70831791434738,1600.2
sp500,short_only,stress,381,2.738193018480493,-34.21296901676938,-0.08979781894165191,-1.0000000000000162,0.32020997375328086,0.8677312408625859,53.83891633747017,-90.83392343593638,1076.0666666666666
sp500,trend_aligned,stress,296,2.127310061601643,60.0963004015685,0.20302804189719087,-1.0000000000000009,0.43243243243243246,1.3571820242048354,17.20711244824295,-17.780228586710017,1523.9666666666667
