available_at,close,ema,slope,regime
2022-01-03 00:00:00+00:00,4786.65,,,unavailable
2022-01-04 00:00:00+00:00,4794.37,,,unavailable
2022-01-05 00:00:00+00:00,4789.41,,,unavailable
2022-01-06 00:00:00+00:00,4708.67,,,unavailable
2022-01-07 00:00:00+00:00,4708.62,,,unavailable
2022-01-08 00:00:00+00:00,4680.9,,,unavailable
2022-01-10 00:00:00+00:00,4667.11,,,unavailable
2022-01-11 00:00:00+00:00,4674.63,,,unavailable
2022-01-12 00:00:00+00:00,4713.76,,,unavailable
2022-01-13 00:00:00+00:00,4726.12,,,unavailable
2022-01-14 00:00:00+00:00,4664.02,,,unavailable
2022-01-15 00:00:00+00:00,4665.43,,,unavailable
2022-01-17 00:00:00+00:00,4665.34,,,unavailable
2022-01-18 00:00:00+00:00,4665.57,,,unavailable
2022-01-19 00:00:00+00:00,4576.91,,,unavailable
2022-01-20 00:00:00+00:00,4524.28,,,unavailable
2022-01-21 00:00:00+00:00,4470.52,,,unavailable
2022-01-22 00:00:00+00:00,4412.45,,,unavailable
2022-01-24 00:00:00+00:00,4422.76,,,unavailable
2022-01-25 00:00:00+00:00,4409.86,,,unavailable
2022-01-26 00:00:00+00:00,4365.75,,,unavailable
2022-01-27 00:00:00+00:00,4373.92,,,unavailable
2022-01-28 00:00:00+00:00,4343.03,,,unavailable
2022-01-29 00:00:00+00:00,4427.89,,,unavailable
2022-01-31 00:00:00+00:00,4419.82,,,unavailable
2022-02-01 00:00:00+00:00,4500.62,,,unavailable
2022-02-02 00:00:00+00:00,4558.61,,,unavailable
2022-02-03 00:00:00+00:00,4538.3,,,unavailable
2022-02-04 00:00:00+00:00,4525.1,,,unavailable
2022-02-05 00:00:00+00:00,4502.81,,,unavailable
2022-02-07 00:00:00+00:00,4504.83,,,unavailable
2022-02-08 00:00:00+00:00,4493.03,,,unavailable
2022-02-09 00:00:00+00:00,4530.61,,,unavailable
2022-02-10 00:00:00+00:00,4586.12,,,unavailable
2022-02-11 00:00:00+00:00,4491.27,,,unavailable
2022-02-12 00:00:00+00:00,4422.39,,,unavailable
2022-02-14 00:00:00+00:00,4423.82,,,unavailable
2022-02-15 00:00:00+00:00,4408.62,,,unavailable
2022-02-16 00:00:00+00:00,4457.77,,,unavailable
2022-02-17 00:00:00+00:00,4466.13,,,unavailable
2022-02-18 00:00:00+00:00,4382.63,,,unavailable
2022-02-19 00:00:00+00:00,4348.02,,,unavailable
2022-02-21 00:00:00+00:00,4326.32,,,unavailable
2022-02-22 00:00:00+00:00,4275.62,,,unavailable
2022-02-23 00:00:00+00:00,4328.0,,,unavailable
2022-02-24 00:00:00+00:00,4221.62,,,unavailable
2022-02-25 00:00:00+00:00,4264.25,,,unavailable
2022-02-26 00:00:00+00:00,4381.61,,,unavailable
2022-02-28 00:00:00+00:00,4287.65,,,unavailable
2022-03-01 00:00:00+00:00,4380.93,,,unavailable
2022-03-02 00:00:00+00:00,4320.37,,,unavailable
2022-03-03 00:00:00+00:00,4377.66,,,unavailable
2022-03-04 00:00:00+00:00,4374.29,,,unavailable
2022-03-05 00:00:00+00:00,4329.46,,,unavailable
2022-03-07 00:00:00+00:00,4272.16,,,unavailable
2022-03-08 00:00:00+00:00,4188.67,,,unavailable
2022-03-09 00:00:00+00:00,4171.49,,,unavailable
2022-03-10 00:00:00+00:00,4277.62,,,unavailable
2022-03-11 00:00:00+00:00,4265.65,,,unavailable
2022-03-12 00:00:00+00:00,4205.48,,,unavailable
2022-03-14 00:00:00+00:00,4233.48,,,unavailable
2022-03-15 00:00:00+00:00,4182.83,,,unavailable
2022-03-16 00:00:00+00:00,4258.29,,,unavailable
2022-03-17 00:00:00+00:00,4366.3,,,unavailable
2022-03-18 00:00:00+00:00,4389.02,,,unavailable
2022-03-19 00:00:00+00:00,4459.96,,,unavailable
2022-03-21 00:00:00+00:00,4461.22,,,unavailable
2022-03-22 00:00:00+00:00,4454.48,,,unavailable
2022-03-23 00:00:00+00:00,4518.76,,,unavailable
2022-03-24 00:00:00+00:00,4461.18,,,unavailable
2022-03-25 00:00:00+00:00,4518.78,,,unavailable
2022-03-26 00:00:00+00:00,4540.49,,,unavailable
2022-03-28 00:00:00+00:00,4535.57,,,unavailable
2022-03-29 00:00:00+00:00,4576.56,,,unavailable
2022-03-30 00:00:00+00:00,4629.82,,,unavailable
2022-03-31 00:00:00+00:00,4606.51,,,unavailable
2022-04-01 00:00:00+00:00,4550.3,,,unavailable
2022-04-02 00:00:00+00:00,4549.44,,,unavailable
2022-04-04 00:00:00+00:00,4538.87,,,unavailable
2022-04-05 00:00:00+00:00,4580.83,,,unavailable
2022-04-06 00:00:00+00:00,4530.51,,,unavailable
2022-04-07 00:00:00+00:00,4468.78,,,unavailable
2022-04-08 00:00:00+00:00,4508.76,,,unavailable
2022-04-09 00:00:00+00:00,4487.97,,,unavailable
2022-04-11 00:00:00+00:00,4483.39,,,unavailable
2022-04-12 00:00:00+00:00,4413.52,,,unavailable
2022-04-13 00:00:00+00:00,4412.21,,,unavailable
2022-04-14 00:00:00+00:00,4444.8,,,unavailable
2022-04-15 00:00:00+00:00,4393.62,,,unavailable
2022-04-18 00:00:00+00:00,4364.12,,,unavailable
2022-04-19 00:00:00+00:00,4417.11,,,unavailable
2022-04-20 00:00:00+00:00,4450.77,,,unavailable
2022-04-21 00:00:00+00:00,4478.23,,,unavailable
2022-04-22 00:00:00+00:00,4383.66,,,unavailable
2022-04-23 00:00:00+00:00,4274.7,,,unavailable
2022-04-25 00:00:00+00:00,4265.01,,,unavailable
2022-04-26 00:00:00+00:00,4297.22,,,unavailable
2022-04-27 00:00:00+00:00,4180.06,,,unavailable
2022-04-28 00:00:00+00:00,4219.37,,,unavailable
2022-04-29 00:00:00+00:00,4252.02,,,unavailable
2022-04-30 00:00:00+00:00,4130.18,,,unavailable
2022-05-02 00:00:00+00:00,4138.24,,,unavailable
2022-05-03 00:00:00+00:00,4154.93,,,unavailable
2022-05-04 00:00:00+00:00,4182.97,,,unavailable
2022-05-05 00:00:00+00:00,4293.71,,,unavailable
2022-05-06 00:00:00+00:00,4153.53,,,unavailable
2022-05-07 00:00:00+00:00,4126.29,,,unavailable
2022-05-09 00:00:00+00:00,4086.27,,,unavailable
2022-05-10 00:00:00+00:00,4005.77,,,unavailable
2022-05-11 00:00:00+00:00,3998.16,,,unavailable
2022-05-12 00:00:00+00:00,3947.56,,,unavailable
2022-05-13 00:00:00+00:00,3946.66,,,unavailable
2022-05-14 00:00:00+00:00,4022.07,,,unavailable
2022-05-16 00:00:00+00:00,4040.11,,,unavailable
2022-05-17 00:00:00+00:00,4012.66,,,unavailable
2022-05-18 00:00:00+00:00,4088.77,,,unavailable
2022-05-19 00:00:00+00:00,3901.38,,,unavailable
2022-05-20 00:00:00+00:00,3911.41,,,unavailable
2022-05-21 00:00:00+00:00,3902.12,,,unavailable
2022-05-23 00:00:00+00:00,3938.99,,,unavailable
2022-05-24 00:00:00+00:00,3950.82,,,unavailable
2022-05-25 00:00:00+00:00,3962.18,,,unavailable
2022-05-26 00:00:00+00:00,3972.85,,,unavailable
2022-05-27 00:00:00+00:00,4059.27,,,unavailable
2022-05-28 00:00:00+00:00,4155.06,,,unavailable
2022-05-30 00:00:00+00:00,4170.61,,,unavailable
2022-05-31 00:00:00+00:00,4181.2,,,unavailable
2022-06-01 00:00:00+00:00,4150.81,,,unavailable
2022-06-02 00:00:00+00:00,4089.47,,,unavailable
2022-06-03 00:00:00+00:00,4183.27,,,unavailable
2022-06-04 00:00:00+00:00,4108.47,,,unavailable
2022-06-06 00:00:00+00:00,4110.31,,,unavailable
2022-06-07 00:00:00+00:00,4122.72,,,unavailable
2022-06-08 00:00:00+00:00,4148.27,,,unavailable
2022-06-09 00:00:00+00:00,4119.56,,,unavailable
2022-06-10 00:00:00+00:00,4023.07,,,unavailable
2022-06-11 00:00:00+00:00,3907.79,,,unavailable
2022-06-13 00:00:00+00:00,3862.98,,,unavailable
2022-06-14 00:00:00+00:00,3762.86,,,unavailable
2022-06-15 00:00:00+00:00,3759.86,,,unavailable
2022-06-16 00:00:00+00:00,3820.01,,,unavailable
2022-06-17 00:00:00+00:00,3676.4,,,unavailable
2022-06-18 00:00:00+00:00,3677.56,,,unavailable
2022-06-20 00:00:00+00:00,3704.7,,,unavailable
2022-06-21 00:00:00+00:00,3716.27,,,unavailable
2022-06-22 00:00:00+00:00,3764.22,,,unavailable
2022-06-23 00:00:00+00:00,3744.3,,,unavailable
2022-06-24 00:00:00+00:00,3784.82,,,unavailable
2022-06-25 00:00:00+00:00,3910.29,,,unavailable
2022-06-27 00:00:00+00:00,3899.48,,,unavailable
2022-06-28 00:00:00+00:00,3909.48,,,unavailable
2022-06-29 00:00:00+00:00,3829.33,,,unavailable
2022-06-30 00:00:00+00:00,3816.56,,,unavailable
2022-07-01 00:00:00+00:00,3789.92,,,unavailable
2022-07-02 00:00:00+00:00,3824.39,,,unavailable
2022-07-04 00:00:00+00:00,3812.63,,,unavailable
2022-07-05 00:00:00+00:00,3846.27,,,unavailable
2022-07-06 00:00:00+00:00,3824.77,,,unavailable
2022-07-07 00:00:00+00:00,3850.77,,,unavailable
2022-07-08 00:00:00+00:00,3895.88,,,unavailable
2022-07-09 00:00:00+00:00,3902.84,,,unavailable
2022-07-11 00:00:00+00:00,3895.88,,,unavailable
2022-07-12 00:00:00+00:00,3862.78,,,unavailable
2022-07-13 00:00:00+00:00,3821.73,,,unavailable
2022-07-14 00:00:00+00:00,3778.27,,,unavailable
2022-07-15 00:00:00+00:00,3809.35,,,unavailable
2022-07-16 00:00:00+00:00,3860.73,,,unavailable
2022-07-18 00:00:00+00:00,3872.77,,,unavailable
2022-07-19 00:00:00+00:00,3842.51,,,unavailable
2022-07-20 00:00:00+00:00,3942.22,,,unavailable
2022-07-21 00:00:00+00:00,3954.4,,,unavailable
2022-07-22 00:00:00+00:00,3981.92,,,unavailable
2022-07-23 00:00:00+00:00,3959.82,,,unavailable
2022-07-25 00:00:00+00:00,3955.33,,,unavailable
2022-07-26 00:00:00+00:00,3955.33,,,unavailable
2022-07-27 00:00:00+00:00,3953.29,,,unavailable
2022-07-28 00:00:00+00:00,4018.3,,,unavailable
2022-07-29 00:00:00+00:00,4091.72,,,unavailable
2022-07-30 00:00:00+00:00,4131.15,,,unavailable
2022-08-01 00:00:00+00:00,4116.42,,,unavailable
2022-08-02 00:00:00+00:00,4113.22,,,unavailable
2022-08-03 00:00:00+00:00,4093.22,,,unavailable
2022-08-04 00:00:00+00:00,4149.62,,,unavailable
2022-08-05 00:00:00+00:00,4153.12,,,unavailable
2022-08-06 00:00:00+00:00,4143.92,,,unavailable
2022-08-08 00:00:00+00:00,4133.34,,,unavailable
2022-08-09 00:00:00+00:00,4152.91,,,unavailable
2022-08-10 00:00:00+00:00,4128.89,,,unavailable
2022-08-11 00:00:00+00:00,4211.2,,,unavailable
2022-08-12 00:00:00+00:00,4213.27,,,unavailable
2022-08-13 00:00:00+00:00,4279.11,,,unavailable
2022-08-15 00:00:00+00:00,4268.05,,,unavailable
2022-08-16 00:00:00+00:00,4293.96,,,unavailable
2022-08-17 00:00:00+00:00,4306.03,,,unavailable
2022-08-18 00:00:00+00:00,4267.77,,,unavailable
2022-08-19 00:00:00+00:00,4285.25,,,unavailable
2022-08-20 00:00:00+00:00,4231.76,,,unavailable
2022-08-22 00:00:00+00:00,4208.63,,,unavailable
2022-08-23 00:00:00+00:00,4151.67,,,unavailable
2022-08-24 00:00:00+00:00,4127.89,4217.971011681741,,unavailable
2022-08-25 00:00:00+00:00,4144.45,4217.239459326699,,unavailable
2022-08-26 00:00:00+00:00,4195.34,4217.021554258771,,unavailable
2022-08-27 00:00:00+00:00,4062.17,4215.48074277361,,unavailable
2022-08-29 00:00:00+00:00,4013.28,4213.46879508432,,unavailable
2022-08-30 00:00:00+00:00,4041.58,4211.758458814824,,unavailable
2022-08-31 00:00:00+00:00,3987.05,4209.52255375199,,unavailable
2022-09-01 00:00:00+00:00,3935.11,4206.792080580329,,unavailable
2022-09-02 00:00:00+00:00,3968.56,4204.421612116843,,unavailable
2022-09-03 00:00:00+00:00,3917.86,4201.570252792298,,unavailable
2022-09-05 00:00:00+00:00,3933.25,4198.900399530682,,unavailable
2022-09-06 00:00:00+00:00,3939.77,4196.3219875950535,,unavailable
2022-09-07 00:00:00+00:00,3906.82,4193.441370803063,,unavailable
2022-09-08 00:00:00+00:00,3977.86,4191.296282536367,,unavailable
2022-09-09 00:00:00+00:00,4009.91,4189.491443904164,,unavailable
2022-09-10 00:00:00+00:00,4070.33,4188.305757895168,,unavailable
2022-09-12 00:00:00+00:00,4079.38,4187.221919508152,,unavailable
2022-09-13 00:00:00+00:00,4118.85,4186.541601901105,,unavailable
2022-09-14 00:00:00+00:00,3942.88,4184.11710834985,,unavailable
2022-09-15 00:00:00+00:00,3954.94,4181.836739112538,,unavailable
2022-09-16 00:00:00+00:00,3878.81,4178.821547678583,-39.149464003158755,bear
2022-09-17 00:00:00+00:00,3878.56,4175.833870587254,-41.40558873944519,bear
2022-09-19 00:00:00+00:00,3878.9,4172.879304710764,-44.142249548007385,bear
2022-09-20 00:00:00+00:00,3916.58,4170.3290628728455,-45.151679900764066,bear
2022-09-21 00:00:00+00:00,3861.03,4167.2514602571955,-46.21733482712443,bear
2022-09-22 00:00:00+00:00,3767.66,4163.275425826776,-48.48303298804785,bear
2022-09-23 00:00:00+00:00,3765.59,4159.318356913077,-50.20419683891305,bear
2022-09-24 00:00:00+00:00,3689.05,4154.639069779614,-52.15301080071458,bear
2022-09-26 00:00:00+00:00,3688.38,4149.999676050464,-54.4219360663792,bear
2022-09-27 00:00:00+00:00,3666.35,4145.187241462897,-56.38301132940069,bear
2022-09-28 00:00:00+00:00,3650.2,4140.261995279187,-58.63840425149465,bear
2022-09-29 00:00:00+00:00,3715.08,4136.031328659495,-60.290658935558895,bear
2022-09-30 00:00:00+00:00,3655.58,4131.250718424077,-62.19065237898667,bear
2022-10-01 00:00:00+00:00,3586.16,4125.8269301810515,-65.4693523553151,bear
2022-10-03 00:00:00+00:00,3572.82,4120.324373661837,-69.1670702423271,bear
2022-10-04 00:00:00+00:00,3689.99,4116.042439595551,-72.26331829961782,bear
2022-10-05 00:00:00+00:00,3784.71,4112.74559940057,-74.47632010758116,bear
2022-10-06 00:00:00+00:00,3799.26,4109.6263397050425,-76.91526219606294,bear
2022-10-07 00:00:00+00:00,3734.07,4105.889460703002,-78.2276476468478,bear
2022-10-08 00:00:00+00:00,3643.11,4101.284689949739,-80.55204916279945,bear
2022-10-10 00:00:00+00:00,3622.84,4096.524046268647,-82.29750140993565,bear
2022-10-11 00:00:00+00:00,3621.87,4091.8011204351283,-84.03275015212557,bear
2022-10-12 00:00:00+00:00,3595.16,4086.859417744232,-86.01988696653189,bear
2022-10-13 00:00:00+00:00,3588.33,4081.8989260253843,-88.4301368474612,bear
2022-10-14 00:00:00+00:00,3670.59,4077.8062998957785,-89.44516036141704,bear
2022-10-15 00:00:00+00:00,3582.87,4072.881560593333,-90.3938652334432,bear
2022-10-17 00:00:00+00:00,3606.46,4068.2405500401655,-91.07780687291142,bear
2022-10-18 00:00:00+00:00,3711.33,4064.6892012835474,-89.94986849606676,bear
2022-10-19 00:00:00+00:00,3755.07,4061.6084132110745,-88.39126283938913,bear
2022-10-20 00:00:00+00:00,3688.3,4057.8939016368354,-87.29333982606158,bear
2022-10-21 00:00:00+00:00,3653.39,4053.868987192688,-86.39300808649932,bear
2022-10-22 00:00:00+00:00,3753.69,4050.882131598731,-85.14919706076353,bear
2022-10-24 00:00:00+00:00,3779.0,4048.176836756953,-83.07388166712371,bear
2022-10-25 00:00:00+00:00,3802.16,4045.7289080330033,-80.09802214804813,bear
2022-10-26 00:00:00+00:00,3825.2,4043.5345905401377,-76.7897831216992,bear
2022-10-27 00:00:00+00:00,3853.53,4041.6439975994404,-74.39844199611025,bear
2022-10-28 00:00:00+00:00,3786.95,4039.1097289666104,-73.63587043396001,bear
2022-10-29 00:00:00+00:00,3901.61,4037.74157245948,-71.88476724556267,bear
2022-10-31 00:00:00+00:00,3898.53,4036.356382683764,-69.53307801923847,bear
2022-11-01 00:00:00+00:00,3881.78,4034.8183092242243,-66.46638072551468,bear
2022-11-02 00:00:00+00:00,3858.82,4033.06708226677,-63.45696400187717,bear
2022-11-03 00:00:00+00:00,3752.73,4030.277658562623,-61.52346187250532,bear
2022-11-04 00:00:00+00:00,3714.21,4027.1327067361294,-59.726711008102484,bear
2022-11-05 00:00:00+00:00,3766.74,4024.5417345298,-57.357191495584175,bear
2022-11-07 00:00:00+00:00,3746.82,4021.77833418622,-56.02796570955843,bear
2022-11-08 00:00:00+00:00,3811.72,4019.6882015077504,-53.193359085582415,bear
2022-11-09 00:00:00+00:00,3835.17,4017.8521995026986,-50.38835053746698,bear
2022-11-10 00:00:00+00:00,3752.66,4015.213471149438,-49.4757301341092,bear
2022-11-11 00:00:00+00:00,3967.17,4014.7354266603893,-46.872986550685255,bear
2022-11-12 00:00:00+00:00,3993.6,4014.5251239075496,-43.36877772928574,bear
2022-11-14 00:00:00+00:00,3987.22,4014.25343113235,-39.615556060337894,bear
2022-11-15 00:00:00+00:00,3969.59,4013.8090188822775,-37.07311271645358,bear
2022-11-16 00:00:00+00:00,3991.04,4013.5824614804637,-34.594375276489245,bear
2022-11-17 00:00:00+00:00,3971.62,4013.16492455031,-32.5639834826934,bear
2022-11-18 00:00:00+00:00,3949.34,4012.5298506741874,-31.00473986595034,bear
2022-11-19 00:00:00+00:00,3966.7,4012.073832259519,-29.57016533992146,bear
2022-11-21 00:00:00+00:00,3965.31,4011.6085204957426,-27.501208470867823,bear
2022-11-22 00:00:00+00:00,3956.28,4011.0579879534966,-26.683584505983163,bear
2022-11-23 00:00:00+00:00,4008.13,4011.028853745004,-25.32752893875977,bear
2022-11-24 00:00:00+00:00,4038.28,4011.3000094291338,-23.51829979509057,mixed
2022-11-25 00:00:00+00:00,4041.74,4011.6028949074507,-21.464187359319112,mixed
2022-11-26 00:00:00+00:00,4031.12,4011.797094958123,-18.48056360449982,mixed
2022-11-28 00:00:00+00:00,4014.45,4011.8234920232167,-15.309214712912762,mixed
2022-11-29 00:00:00+00:00,3969.89,4011.406243346369,-13.135491183430986,bear
2022-11-30 00:00:00+00:00,3956.28,4010.857723512077,-10.920610674143063,bear
2022-12-01 00:00:00+00:00,4090.28,4011.647994919917,-8.040206587833381,mixed
2022-12-02 00:00:00+00:00,4076.34,4012.2916964630026,-5.560503039695959,mixed
2022-12-03 00:00:00+00:00,4075.67,4012.922326348943,-2.2911448004952035,mixed
2022-12-05 00:00:00+00:00,4070.84,4013.498621609153,-1.236805051236388,mixed
2022-12-06 00:00:00+00:00,4008.05,4013.444406468763,-1.0807174387864507,bear
2022-12-07 00:00:00+00:00,3947.85,4012.7917258073826,-1.4617053249676246,bear
2022-12-08 00:00:00+00:00,3937.43,4012.041857888901,-1.7671609933763648,bear
2022-12-09 00:00:00+00:00,3963.3,4011.5568642780663,-2.025597202397421,bear
2022-12-10 00:00:00+00:00,3937.39,4010.8188855290314,-2.346039021278557,bear
2022-12-12 00:00:00+00:00,3929.37,4010.008448857101,-2.521401817086371,bear
2022-12-13 00:00:00+00:00,3993.51,4009.8442851868813,-2.229547072637615,bear
2022-12-14 00:00:00+00:00,4025.41,4009.9991679213404,-1.6093525744022372,mixed
2022-12-15 00:00:00+00:00,4008.14,4009.9806687380433,-1.0773192154533717,bear
2022-12-16 00:00:00+00:00,3897.6,4008.8624531287096,-2.1664006162945952,bear
2022-12-17 00:00:00+00:00,3852.7,4007.3085978736976,-3.991411555436116,bear
2022-12-19 00:00:00+00:00,3852.72,4005.7704028699795,-5.832492037471184,bear
2022-12-20 00:00:00+00:00,3824.42,4003.965921249383,-7.8311737087401525,bear
2022-12-21 00:00:00+00:00,3836.07,4002.295315067797,-9.52817695541944,bear
2022-12-22 00:00:00+00:00,3885.82,4001.136356708914,-10.269886637455329,bear
2022-12-23 00:00:00+00:00,3823.27,3999.3665422142976,-11.491181297779349,bear
2022-12-24 00:00:00+00:00,3846.03,3997.8408054758474,-13.807189444069536,bear
2022-12-27 00:00:00+00:00,3871.07,3996.5794044263366,-15.712292036665986,bear
2022-12-28 00:00:00+00:00,3833.19,3994.9536392081645,-17.968687140778457,bear
2022-12-29 00:00:00+00:00,3790.06,3992.9148965294767,-20.583725079676242,bear
2022-12-30 00:00:00+00:00,3843.42,3991.427385121224,-22.017021347539412,bear
2022-12-31 00:00:00+00:00,3836.65,3989.8873116374307,-22.904414169951906,bear
2023-01-03 00:00:00+00:00,3850.21,3988.497487641039,-23.54437024786239,bear
2023-01-04 00:00:00+00:00,3824.57,3986.866368361029,-24.690495917037424,bear
2023-01-05 00:00:00+00:00,3852.36,3985.527996536541,-25.29088899249018,bear
2023-01-06 00:00:00+00:00,3815.34,3983.8345836356802,-26.173865221420783,bear
2023-01-07 00:00:00+00:00,3895.92,3982.959811659206,-26.884473527675254,bear
2023-01-09 00:00:00+00:00,3904.97,3982.1837936327465,-27.81537428859383,bear
2023-01-10 00:00:00+00:00,3890.81,3981.2746016563015,-28.70606708174182,bear
