asset,policy,cost,month,net_r
xauusd,trend_aligned,base,2025-02,3.5533918556045276
xauusd,trend_aligned,base,2025-03,0.15470529996922056
xauusd,trend_aligned,base,2025-04,1.9015637524384703
xauusd,trend_aligned,base,2025-05,5.082661908156488
xauusd,trend_aligned,base,2025-06,-5.0040375993849695
xauusd,trend_aligned,base,2025-07,4.967872376454452
xauusd,trend_aligned,base,2025-08,11.607520573939837
xauusd,trend_aligned,base,2025-09,2.0889668005780218
xauusd,trend_aligned,base,2025-10,4.755143406320917
xauusd,trend_aligned,base,2025-11,7.162055746060494
xauusd,trend_aligned,base,2025-12,-9.563403980691872
xauusd,trend_aligned,base,2026-01,5.737851896311582
xauusd,trend_aligned,base,2026-02,-1.3145615993078357
xauusd,trend_aligned,base,2026-03,-1.1673178489923293
xauusd,trend_aligned,base,2026-04,-6.894668921432881
xauusd,trend_aligned,base,2026-05,1.21809667067701
xauusd,trend_aligned,base,2026-06,4.786865146807641
xauusd,trend_aligned,base,2026-07,3.6306511664977767
xauusd,trend_aligned,base,2026-08,-4.315516438184057
xauusd,baseline,stress,2024-01,-10.151508721405689
xauusd,baseline,stress,2024-02,-6.701374122041952
xauusd,baseline,stress,2024-03,-4.733722706500142
xauusd,baseline,stress,2024-04,-6.333743257227644
xauusd,baseline,stress,2024-05,-1.3249271677172538
xauusd,baseline,stress,2024-06,-2.7994693659472887
xauusd,baseline,stress,2024-07,4.070031067664178
xauusd,baseline,stress,2024-08,-4.569527028388354
xauusd,baseline,stress,2024-09,-13.687648694425523
xauusd,baseline,stress,2024-10,2.1377023306073104
xauusd,baseline,stress,2024-11,14.185812036353243
xauusd,baseline,stress,2024-12,-5.198007652080205
xauusd,baseline,stress,2025-01,-7.01720221814702
xauusd,baseline,stress,2025-02,-7.256003889637595
xauusd,baseline,stress,2025-03,-6.933593119790393
xauusd,baseline,stress,2025-04,4.452974148110659
xauusd,baseline,stress,2025-05,5.528520434668689
xauusd,baseline,stress,2025-06,-11.832526712754623
xauusd,baseline,stress,2025-07,-2.714786311604392
xauusd,baseline,stress,2025-08,11.53936879304401
xauusd,baseline,stress,2025-09,3.5444284187352824
xauusd,baseline,stress,2025-10,7.85883179669913
xauusd,baseline,stress,2025-11,0.05230497572574333
xauusd,baseline,stress,2025-12,-10.371395713387232
xauusd,baseline,stress,2026-01,-3.448957151877546
xauusd,baseline,stress,2026-02,-0.17932579225248074
xauusd,baseline,stress,2026-03,-1.8483973432396354
xauusd,baseline,stress,2026-04,-14.7989946109081
xauusd,baseline,stress,2026-05,1.0151281410425996
xauusd,baseline,stress,2026-06,4.411630727910599
xauusd,baseline,stress,2026-07,10.201310460425814
xauusd,baseline,stress,2026-08,-8.706591884379531
xauusd,long_only,stress,2024-01,-4.268300334589226
xauusd,long_only,stress,2024-02,1.2964644340228122
xauusd,long_only,stress,2024-03,1.8601385175880787
xauusd,long_only,stress,2024-04,0.5335068477133675
xauusd,long_only,stress,2024-05,-0.8076925576636451
xauusd,long_only,stress,2024-06,1.5212009834980311
xauusd,long_only,stress,2024-07,0.05278816558400301
xauusd,long_only,stress,2024-08,-0.3835036697356048
xauusd,long_only,stress,2024-09,-1.1664233863323656
xauusd,long_only,stress,2024-10,10.13770233060763
xauusd,long_only,stress,2024-11,1.1516194262784072
xauusd,long_only,stress,2024-12,-2.418682582145886
xauusd,long_only,stress,2025-01,-4.1399380530385645
xauusd,long_only,stress,2025-02,3.8134135267837435
xauusd,long_only,stress,2025-03,-0.25936506799043413
